year,Melynda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,6
1944,0
1945,0
1946,7
1947,5
1948,11
1949,10
1950,6
1951,10
1952,10
1953,6
1954,11
1955,22
1956,28
1957,21
1958,33
1959,22
1960,32
1961,49
1962,44
1963,60
1964,60
1965,55
1966,71
1967,80
1968,82
1969,84
1970,92
1971,96
1972,78
1973,100
1974,79
1975,95
1976,70
1977,75
1978,94
1979,100
1980,90
1981,79
1982,67
1983,66
1984,57
1985,55
1986,59
1987,50
1988,43
1989,41
1990,38
1991,36
1992,39
1993,34
1994,24
1995,25
1996,15
1997,23
1998,18
1999,19
2000,14
2001,13
2002,11
2003,0
2004,9
2005,5
2006,14
2007,0
2008,8
2009,10
2010,9
2011,6
2012,7
