year,Michalene
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,5
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,7
1939,0
1940,9
1941,14
1942,11
1943,11
1944,11
1945,7
1946,19
1947,24
1948,16
1949,21
1950,14
1951,20
1952,16
1953,16
1954,14
1955,0
1956,16
1957,13
1958,6
1959,8
1960,13
1961,11
1962,8
1963,8
1964,10
1965,11
1966,10
1967,8
1968,13
1969,7
1970,14
1971,10
1972,8
1973,10
1974,11
1975,18
1976,5
1977,6
1978,8
1979,0
1980,0
1981,0
1982,6
1983,0
1984,5
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,5
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
