year,Maurice (F),Maurice (M)
1880,0.000000,0.000462
1881,0.000000,0.000374
1882,0.000000,0.000460
1883,0.000000,0.000410
1884,0.000000,0.000472
1885,0.000000,0.000399
1886,0.000000,0.000380
1887,0.000000,0.000356
1888,0.000000,0.000334
1889,0.000000,0.000377
1890,0.000000,0.000338
1891,0.000000,0.000408
1892,0.000000,0.000410
1893,0.000000,0.000458
1894,0.000000,0.000369
1895,0.000000,0.000387
1896,0.000000,0.000355
1897,0.000000,0.000337
1898,0.000013,0.000375
1899,0.000000,0.000345
1900,0.000000,0.000429
1901,0.000017,0.000463
1902,0.000000,0.000484
1903,0.000000,0.000477
1904,0.000020,0.000411
1905,0.000028,0.000476
1906,0.000021,0.000460
1907,0.000021,0.000447
1908,0.000016,0.000493
1909,0.000023,0.000479
1910,0.000008,0.000479
1911,0.000023,0.000616
1912,0.000024,0.000821
1913,0.000031,0.000874
1914,0.000022,0.000887
1915,0.000033,0.000786
1916,0.000030,0.000819
1917,0.000024,0.000774
1918,0.000027,0.000754
1919,0.000027,0.000698
1920,0.000027,0.000755
1921,0.000023,0.000747
1922,0.000028,0.000741
1923,0.000023,0.000743
1924,0.000026,0.000720
1925,0.000025,0.000680
1926,0.000026,0.000714
1927,0.000028,0.000644
1928,0.000030,0.000660
1929,0.000021,0.000628
1930,0.000022,0.000698
1931,0.000024,0.000710
1932,0.000018,0.000672
1933,0.000024,0.000655
1934,0.000015,0.000597
1935,0.000014,0.000590
1936,0.000015,0.000555
1937,0.000012,0.000502
1938,0.000012,0.000521
1939,0.000009,0.000462
1940,0.000015,0.000448
1941,0.000010,0.000421
1942,0.000011,0.000376
1943,0.000009,0.000392
1944,0.000007,0.000381
1945,0.000008,0.000344
1946,0.000006,0.000331
1947,0.000006,0.000317
1948,0.000007,0.000291
1949,0.000009,0.000331
1950,0.000006,0.000342
1951,0.000008,0.000304
1952,0.000006,0.000321
1953,0.000005,0.000318
1954,0.000007,0.000308
1955,0.000004,0.000304
1956,0.000006,0.000321
1957,0.000005,0.000332
1958,0.000006,0.000313
1959,0.000006,0.000327
1960,0.000006,0.000319
1961,0.000004,0.000348
1962,0.000007,0.000367
1963,0.000005,0.000376
1964,0.000005,0.000386
1965,0.000006,0.000391
1966,0.000007,0.000407
1967,0.000006,0.000450
1968,0.000009,0.000437
1969,0.000007,0.000452
1970,0.000008,0.000483
1971,0.000008,0.000496
1972,0.000008,0.000522
1973,0.000008,0.000478
1974,0.000008,0.000452
1975,0.000006,0.000458
1976,0.000010,0.000444
1977,0.000009,0.000453
1978,0.000006,0.000496
1979,0.000008,0.000479
1980,0.000008,0.000451
1981,0.000005,0.000475
1982,0.000006,0.000469
1983,0.000005,0.000486
1984,0.000005,0.000456
1985,0.000007,0.000437
1986,0.000004,0.000424
1987,0.000009,0.000408
1988,0.000005,0.000404
1989,0.000003,0.000370
1990,0.000003,0.000377
1991,0.000002,0.000334
1992,0.000002,0.000303
1993,0.000001,0.000295
1994,0.000002,0.000251
1995,0.000001,0.000243
1996,0.000000,0.000222
1997,0.000000,0.000228
1998,0.000000,0.000226
1999,0.000000,0.000199
2000,0.000000,0.000210
2001,0.000000,0.000192
2002,0.000000,0.000187
2003,0.000000,0.000199
2004,0.000000,0.000186
2005,0.000000,0.000172
2006,0.000000,0.000192
2007,0.000000,0.000177
2008,0.000000,0.000187
2009,0.000000,0.000167
2010,0.000000,0.000162
2011,0.000000,0.000158
2012,0.000000,0.000145
2013,0.000000,0.000138
2014,0.000000,0.000129
2015,0.000000,0.000117
2016,0.000000,0.000111
2017,0.000000,0.000111
2018,0.000000,0.000107
2019,0.000000,0.000094
2020,0.000000,0.000080
