year,Marry
1880,0
1881,0
1882,6
1883,6
1884,0
1885,0
1886,0
1887,7
1888,5
1889,6
1890,10
1891,0
1892,8
1893,8
1894,6
1895,5
1896,0
1897,5
1898,6
1899,6
1900,19
1901,9
1902,11
1903,15
1904,21
1905,9
1906,12
1907,14
1908,10
1909,14
1910,18
1911,11
1912,16
1913,19
1914,26
1915,25
1916,28
1917,26
1918,37
1919,35
1920,24
1921,17
1922,31
1923,34
1924,30
1925,35
1926,31
1927,26
1928,30
1929,18
1930,21
1931,20
1932,14
1933,13
1934,21
1935,23
1936,15
1937,22
1938,15
1939,28
1940,17
1941,19
1942,17
1943,16
1944,14
1945,20
1946,23
1947,18
1948,11
1949,12
1950,19
1951,20
1952,16
1953,13
1954,20
1955,19
1956,16
1957,16
1958,17
1959,15
1960,15
1961,17
1962,18
1963,9
1964,17
1965,15
1966,17
1967,17
1968,21
1969,18
1970,12
1971,17
1972,8
1973,13
1974,14
1975,11
1976,5
1977,8
1978,12
1979,10
1980,11
1981,9
1982,13
1983,11
1984,9
1985,12
1986,14
1987,11
1988,9
1989,16
1990,12
1991,12
1992,6
1993,16
1994,5
1995,13
1996,7
1997,6
1998,6
1999,0
2000,8
2001,9
2002,8
2003,0
2004,0
2005,8
2006,7
2007,8
2008,13
2009,11
2010,6
2011,6
2012,6
