year,Marshall (F),Marshall (M)
1880,0.000000,0.000387
1881,0.000000,0.000291
1882,0.000000,0.000375
1883,0.000000,0.000364
1884,0.000000,0.000361
1885,0.000000,0.000324
1886,0.000000,0.000411
1887,0.000000,0.000279
1888,0.000000,0.000304
1889,0.000000,0.000266
1890,0.000000,0.000242
1891,0.000000,0.000279
1892,0.000000,0.000278
1893,0.000000,0.000301
1894,0.000000,0.000275
1895,0.000000,0.000285
1896,0.000000,0.000330
1897,0.000000,0.000236
1898,0.000000,0.000286
1899,0.000000,0.000206
1900,0.000000,0.000280
1901,0.000000,0.000194
1902,0.000000,0.000243
1903,0.000000,0.000247
1904,0.000000,0.000287
1905,0.000000,0.000281
1906,0.000000,0.000250
1907,0.000000,0.000254
1908,0.000000,0.000327
1909,0.000000,0.000262
1910,0.000000,0.000212
1911,0.000000,0.000276
1912,0.000005,0.000402
1913,0.000000,0.000375
1914,0.000000,0.000376
1915,0.000000,0.000390
1916,0.000005,0.000382
1917,0.000005,0.000387
1918,0.000004,0.000404
1919,0.000005,0.000387
1920,0.000003,0.000376
1921,0.000004,0.000384
1922,0.000005,0.000373
1923,0.000006,0.000339
1924,0.000000,0.000360
1925,0.000004,0.000356
1926,0.000007,0.000332
1927,0.000003,0.000339
1928,0.000007,0.000322
1929,0.000005,0.000317
1930,0.000000,0.000333
1931,0.000007,0.000317
1932,0.000004,0.000303
1933,0.000003,0.000338
1934,0.000000,0.000325
1935,0.000000,0.000316
1936,0.000006,0.000342
1937,0.000004,0.000377
1938,0.000004,0.000370
1939,0.000006,0.000354
1940,0.000004,0.000351
1941,0.000005,0.000357
1942,0.000006,0.000349
1943,0.000003,0.000361
1944,0.000005,0.000374
1945,0.000006,0.000366
1946,0.000003,0.000336
1947,0.000004,0.000353
1948,0.000005,0.000335
1949,0.000004,0.000318
1950,0.000006,0.000309
1951,0.000005,0.000294
1952,0.000004,0.000287
1953,0.000003,0.000269
1954,0.000005,0.000276
1955,0.000006,0.000276
1956,0.000004,0.000271
1957,0.000003,0.000260
1958,0.000005,0.000251
1959,0.000004,0.000227
1960,0.000003,0.000215
1961,0.000006,0.000217
1962,0.000005,0.000207
1963,0.000007,0.000198
1964,0.000005,0.000213
1965,0.000007,0.000215
1966,0.000004,0.000190
1967,0.000006,0.000199
1968,0.000004,0.000210
1969,0.000007,0.000208
1970,0.000005,0.000209
1971,0.000003,0.000197
1972,0.000005,0.000205
1973,0.000006,0.000206
1974,0.000004,0.000213
1975,0.000006,0.000206
1976,0.000005,0.000215
1977,0.000005,0.000216
1978,0.000006,0.000226
1979,0.000004,0.000228
1980,0.000006,0.000240
1981,0.000005,0.000238
1982,0.000004,0.000233
1983,0.000003,0.000241
1984,0.000003,0.000227
1985,0.000002,0.000201
1986,0.000002,0.000209
1987,0.000003,0.000201
1988,0.000005,0.000228
1989,0.000003,0.000220
1990,0.000003,0.000235
1991,0.000006,0.000218
1992,0.000002,0.000229
1993,0.000004,0.000234
1994,0.000003,0.000224
1995,0.000003,0.000225
1996,0.000003,0.000234
1997,0.000001,0.000204
1998,0.000001,0.000201
1999,0.000000,0.000200
2000,0.000000,0.000210
2001,0.000000,0.000210
2002,0.000000,0.000192
2003,0.000000,0.000210
2004,0.000002,0.000194
2005,0.000000,0.000167
2006,0.000000,0.000174
2007,0.000000,0.000178
2008,0.000000,0.000197
2009,0.000000,0.000193
2010,0.000000,0.000208
2011,0.000000,0.000243
2012,0.000000,0.000243
