year,Mayme
1880,124
1881,115
1882,140
1883,157
1884,190
1885,198
1886,219
1887,214
1888,247
1889,237
1890,246
1891,234
1892,222
1893,215
1894,235
1895,209
1896,186
1897,207
1898,174
1899,170
1900,229
1901,183
1902,166
1903,158
1904,161
1905,136
1906,125
1907,139
1908,151
1909,141
1910,142
1911,132
1912,165
1913,173
1914,207
1915,291
1916,285
1917,282
1918,274
1919,257
1920,211
1921,216
1922,208
1923,215
1924,183
1925,145
1926,164
1927,128
1928,107
1929,96
1930,103
1931,87
1932,64
1933,69
1934,53
1935,51
1936,64
1937,51
1938,48
1939,50
1940,36
1941,37
1942,39
1943,41
1944,31
1945,37
1946,24
1947,25
1948,16
1949,16
1950,24
1951,20
1952,19
1953,17
1954,15
1955,12
1956,12
1957,17
1958,14
1959,7
1960,10
1961,13
1962,7
1963,13
1964,13
1965,10
1966,10
1967,10
1968,5
1969,12
1970,7
1971,7
1972,7
1973,8
1974,11
1975,9
1976,7
1977,0
1978,10
1979,10
1980,7
1981,8
1982,8
1983,12
1984,5
1985,9
1986,5
1987,5
1988,8
1989,7
1990,7
1991,6
1992,0
1993,6
1994,9
1995,9
1996,0
1997,0
1998,0
1999,8
2000,6
2001,7
2002,0
2003,7
2004,5
2005,0
2006,0
2007,0
2008,7
2009,13
2010,0
2011,0
2012,6
