year,Melony
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,6
1946,0
1947,5
1948,0
1949,9
1950,5
1951,9
1952,17
1953,18
1954,19
1955,63
1956,60
1957,52
1958,49
1959,60
1960,83
1961,93
1962,95
1963,114
1964,108
1965,71
1966,107
1967,89
1968,103
1969,97
1970,108
1971,111
1972,94
1973,109
1974,116
1975,99
1976,98
1977,101
1978,97
1979,107
1980,85
1981,91
1982,73
1983,72
1984,66
1985,63
1986,59
1987,42
1988,49
1989,66
1990,62
1991,49
1992,46
1993,41
1994,30
1995,27
1996,40
1997,22
1998,32
1999,37
2000,43
2001,37
2002,46
2003,46
2004,51
2005,54
2006,54
2007,73
2008,63
2009,60
2010,69
2011,46
2012,49
