year,Marilu
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,5
1920,0
1921,0
1922,0
1923,8
1924,5
1925,6
1926,5
1927,13
1928,11
1929,19
1930,9
1931,14
1932,9
1933,10
1934,10
1935,11
1936,13
1937,14
1938,16
1939,10
1940,17
1941,10
1942,15
1943,11
1944,6
1945,15
1946,17
1947,18
1948,6
1949,21
1950,12
1951,14
1952,21
1953,20
1954,26
1955,27
1956,25
1957,19
1958,17
1959,15
1960,21
1961,26
1962,18
1963,13
1964,14
1965,13
1966,15
1967,15
1968,15
1969,16
1970,23
1971,14
1972,27
1973,15
1974,24
1975,19
1976,28
1977,31
1978,18
1979,26
1980,30
1981,30
1982,46
1983,51
1984,27
1985,41
1986,36
1987,29
1988,38
1989,45
1990,53
1991,55
1992,49
1993,47
1994,51
1995,42
1996,54
1997,39
1998,22
1999,31
2000,22
2001,30
2002,36
2003,31
2004,21
2005,31
2006,35
2007,27
2008,27
2009,21
2010,13
2011,22
2012,18
