year,Mathias (F),Mathias (M)
1880,0.000000,0.000060
1881,0.000000,0.000062
1882,0.000000,0.000063
1883,0.000000,0.000083
1884,0.000000,0.000053
1885,0.000000,0.000054
1886,0.000000,0.000043
1887,0.000000,0.000044
1888,0.000000,0.000067
1889,0.000000,0.000052
1890,0.000000,0.000066
1891,0.000000,0.000045
1892,0.000000,0.000030
1893,0.000000,0.000037
1894,0.000000,0.000027
1895,0.000000,0.000040
1896,0.000000,0.000014
1897,0.000000,0.000026
1898,0.000000,0.000000
1899,0.000000,0.000015
1900,0.000000,0.000020
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000013
1904,0.000000,0.000020
1905,0.000000,0.000019
1906,0.000000,0.000014
1907,0.000000,0.000015
1908,0.000000,0.000016
1909,0.000000,0.000022
1910,0.000000,0.000010
1911,0.000000,0.000019
1912,0.000000,0.000008
1913,0.000000,0.000029
1914,0.000000,0.000017
1915,0.000000,0.000021
1916,0.000000,0.000022
1917,0.000000,0.000019
1918,0.000000,0.000023
1919,0.000000,0.000018
1920,0.000000,0.000017
1921,0.000000,0.000013
1922,0.000000,0.000017
1923,0.000000,0.000018
1924,0.000000,0.000012
1925,0.000000,0.000012
1926,0.000000,0.000016
1927,0.000000,0.000010
1928,0.000000,0.000010
1929,0.000000,0.000010
1930,0.000000,0.000009
1931,0.000000,0.000014
1932,0.000000,0.000006
1933,0.000000,0.000008
1934,0.000000,0.000009
1935,0.000000,0.000008
1936,0.000000,0.000009
1937,0.000000,0.000008
1938,0.000000,0.000012
1939,0.000000,0.000011
1940,0.000000,0.000007
1941,0.000000,0.000005
1942,0.000000,0.000007
1943,0.000000,0.000005
1944,0.000000,0.000006
1945,0.000000,0.000004
1946,0.000000,0.000002
1947,0.000000,0.000005
1948,0.000000,0.000005
1949,0.000000,0.000003
1950,0.000000,0.000005
1951,0.000000,0.000004
1952,0.000000,0.000003
1953,0.000000,0.000003
1954,0.000000,0.000004
1955,0.000000,0.000004
1956,0.000000,0.000002
1957,0.000000,0.000004
1958,0.000000,0.000004
1959,0.000000,0.000006
1960,0.000000,0.000005
1961,0.000000,0.000004
1962,0.000000,0.000005
1963,0.000000,0.000006
1964,0.000000,0.000005
1965,0.000000,0.000002
1966,0.000000,0.000003
1967,0.000000,0.000005
1968,0.000000,0.000003
1969,0.000000,0.000004
1970,0.000000,0.000004
1971,0.000000,0.000008
1972,0.000000,0.000006
1973,0.000000,0.000008
1974,0.000000,0.000010
1975,0.000000,0.000012
1976,0.000000,0.000012
1977,0.000000,0.000011
1978,0.000000,0.000015
1979,0.000000,0.000013
1980,0.000000,0.000012
1981,0.000000,0.000012
1982,0.000000,0.000012
1983,0.000000,0.000010
1984,0.000000,0.000011
1985,0.000000,0.000013
1986,0.000000,0.000012
1987,0.000000,0.000014
1988,0.000000,0.000020
1989,0.000000,0.000014
1990,0.000000,0.000014
1991,0.000000,0.000018
1992,0.000000,0.000014
1993,0.000000,0.000015
1994,0.000000,0.000017
1995,0.000000,0.000018
1996,0.000000,0.000022
1997,0.000000,0.000021
1998,0.000000,0.000023
1999,0.000000,0.000024
2000,0.000000,0.000024
2001,0.000000,0.000029
2002,0.000000,0.000036
2003,0.000000,0.000045
2004,0.000000,0.000066
2005,0.000000,0.000061
2006,0.000000,0.000072
2007,0.000000,0.000070
2008,0.000000,0.000076
2009,0.000000,0.000075
2010,0.000000,0.000085
2011,0.000000,0.000092
2012,0.000000,0.000096
