year,Machelle
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,6
1947,0
1948,10
1949,10
1950,0
1951,6
1952,9
1953,20
1954,33
1955,32
1956,42
1957,66
1958,61
1959,100
1960,113
1961,134
1962,144
1963,118
1964,158
1965,155
1966,154
1967,158
1968,177
1969,143
1970,147
1971,135
1972,101
1973,103
1974,69
1975,77
1976,74
1977,60
1978,45
1979,51
1980,44
1981,34
1982,28
1983,40
1984,27
1985,23
1986,17
1987,31
1988,22
1989,10
1990,22
1991,20
1992,16
1993,9
1994,13
1995,10
1996,10
1997,14
1998,12
1999,9
2000,7
2001,7
2002,0
2003,6
2004,9
2005,7
2006,0
2007,0
2008,0
2009,0
2010,5
2011,0
2012,9
