year,Margaree
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,6
1913,0
1914,7
1915,9
1916,5
1917,5
1918,15
1919,8
1920,18
1921,10
1922,11
1923,15
1924,19
1925,20
1926,14
1927,18
1928,21
1929,17
1930,17
1931,11
1932,22
1933,18
1934,23
1935,18
1936,19
1937,21
1938,19
1939,19
1940,19
1941,16
1942,11
1943,12
1944,12
1945,12
1946,14
1947,7
1948,8
1949,5
1950,22
1951,6
1952,14
1953,17
1954,10
1955,10
1956,0
1957,0
1958,9
1959,7
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
