year,Marchelle
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,9
1948,7
1949,0
1950,7
1951,9
1952,18
1953,14
1954,43
1955,25
1956,32
1957,37
1958,39
1959,31
1960,51
1961,51
1962,36
1963,64
1964,53
1965,41
1966,60
1967,34
1968,49
1969,48
1970,56
1971,51
1972,35
1973,44
1974,28
1975,27
1976,34
1977,14
1978,30
1979,20
1980,25
1981,21
1982,28
1983,22
1984,30
1985,24
1986,23
1987,24
1988,27
1989,35
1990,33
1991,17
1992,14
1993,27
1994,25
1995,20
1996,22
1997,19
1998,14
1999,15
2000,10
2001,0
2002,12
2003,10
2004,0
2005,0
2006,6
2007,8
2008,0
2009,8
2010,8
2011,0
2012,5
