year,Michaeline
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,6
1914,7
1915,8
1916,13
1917,9
1918,9
1919,21
1920,6
1921,12
1922,0
1923,9
1924,0
1925,12
1926,5
1927,7
1928,0
1929,5
1930,6
1931,0
1932,6
1933,10
1934,11
1935,0
1936,8
1937,16
1938,17
1939,13
1940,18
1941,14
1942,22
1943,28
1944,25
1945,19
1946,23
1947,43
1948,30
1949,32
1950,36
1951,36
1952,23
1953,24
1954,23
1955,20
1956,11
1957,16
1958,6
1959,13
1960,13
1961,13
1962,13
1963,11
1964,9
1965,18
1966,11
1967,15
1968,10
1969,7
1970,14
1971,12
1972,9
1973,15
1974,8
1975,11
1976,0
1977,0
1978,8
1979,7
1980,5
1981,0
1982,0
1983,5
1984,9
1985,0
1986,7
1987,0
1988,5
1989,8
1990,0
1991,10
1992,0
1993,0
1994,0
1995,0
1996,5
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
