year,Margery
1880,8
1881,8
1882,12
1883,11
1884,11
1885,8
1886,17
1887,29
1888,12
1889,13
1890,25
1891,28
1892,33
1893,31
1894,35
1895,39
1896,43
1897,37
1898,38
1899,41
1900,38
1901,39
1902,35
1903,41
1904,39
1905,35
1906,51
1907,46
1908,47
1909,54
1910,66
1911,76
1912,127
1913,127
1914,167
1915,275
1916,330
1917,390
1918,378
1919,393
1920,534
1921,564
1922,511
1923,515
1924,515
1925,444
1926,439
1927,435
1928,399
1929,365
1930,354
1931,317
1932,316
1933,297
1934,277
1935,254
1936,217
1937,224
1938,219
1939,210
1940,212
1941,222
1942,249
1943,230
1944,242
1945,216
1946,215
1947,302
1948,229
1949,220
1950,184
1951,170
1952,204
1953,198
1954,148
1955,137
1956,144
1957,118
1958,113
1959,89
1960,82
1961,103
1962,88
1963,84
1964,74
1965,77
1966,66
1967,52
1968,46
1969,39
1970,42
1971,24
1972,26
1973,34
1974,28
1975,26
1976,23
1977,21
1978,15
1979,8
1980,23
1981,19
1982,19
1983,13
1984,15
1985,16
1986,7
1987,11
1988,14
1989,11
1990,17
1991,13
1992,7
1993,12
1994,0
1995,7
1996,9
1997,6
1998,6
1999,9
2000,8
2001,5
2002,10
2003,9
2004,7
2005,6
2006,0
2007,6
2008,7
2009,0
2010,0
2011,0
2012,0
