year,Maryhelen
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,10
1915,5
1916,6
1917,0
1918,8
1919,8
1920,9
1921,8
1922,6
1923,13
1924,9
1925,8
1926,7
1927,11
1928,9
1929,0
1930,0
1931,0
1932,9
1933,7
1934,12
1935,9
1936,12
1937,14
1938,17
1939,12
1940,11
1941,20
1942,16
1943,17
1944,18
1945,15
1946,19
1947,10
1948,15
1949,16
1950,18
1951,20
1952,9
1953,0
1954,10
1955,6
1956,9
1957,8
1958,13
1959,18
1960,27
1961,25
1962,17
1963,23
1964,14
1965,26
1966,16
1967,16
1968,12
1969,8
1970,12
1971,9
1972,17
1973,7
1974,13
1975,13
1976,9
1977,5
1978,14
1979,12
1980,9
1981,5
1982,11
1983,8
1984,8
1985,13
1986,7
1987,12
1988,8
1989,9
1990,13
1991,0
1992,10
1993,0
1994,6
1995,13
1996,5
1997,7
1998,5
1999,0
2000,5
2001,5
2002,7
2003,9
2004,7
2005,8
2006,8
2007,0
2008,5
2009,0
2010,0
2011,5
2012,0
