year,Margarete
1880,0
1881,0
1882,0
1883,0
1884,5
1885,5
1886,6
1887,7
1888,12
1889,8
1890,8
1891,0
1892,7
1893,7
1894,10
1895,11
1896,15
1897,7
1898,5
1899,12
1900,9
1901,8
1902,17
1903,20
1904,10
1905,7
1906,14
1907,13
1908,18
1909,16
1910,15
1911,21
1912,23
1913,42
1914,36
1915,64
1916,54
1917,59
1918,74
1919,60
1920,59
1921,51
1922,65
1923,49
1924,57
1925,50
1926,46
1927,48
1928,50
1929,40
1930,50
1931,36
1932,30
1933,37
1934,27
1935,30
1936,24
1937,31
1938,20
1939,22
1940,29
1941,20
1942,24
1943,32
1944,19
1945,13
1946,15
1947,18
1948,18
1949,22
1950,19
1951,24
1952,21
1953,24
1954,21
1955,17
1956,21
1957,23
1958,22
1959,20
1960,18
1961,20
1962,19
1963,12
1964,21
1965,16
1966,11
1967,7
1968,9
1969,14
1970,11
1971,7
1972,10
1973,0
1974,5
1975,5
1976,5
1977,6
1978,0
1979,9
1980,12
1981,6
1982,5
1983,12
1984,10
1985,5
1986,14
1987,8
1988,11
1989,5
1990,7
1991,6
1992,5
1993,9
1994,10
1995,7
1996,8
1997,6
1998,0
1999,8
2000,8
2001,0
2002,0
2003,10
2004,0
2005,0
2006,8
2007,9
2008,6
2009,0
2010,0
2011,0
2012,0
