year,Miya
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,6
1966,9
1967,8
1968,0
1969,5
1970,7
1971,10
1972,17
1973,8
1974,13
1975,20
1976,18
1977,37
1978,36
1979,43
1980,57
1981,51
1982,49
1983,44
1984,39
1985,40
1986,28
1987,35
1988,29
1989,48
1990,81
1991,70
1992,78
1993,101
1994,90
1995,88
1996,104
1997,139
1998,195
1999,239
2000,201
2001,215
2002,236
2003,238
2004,236
2005,280
2006,271
2007,318
2008,271
2009,275
2010,237
2011,271
2012,278
