year,Maurita
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,5
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,11
1917,9
1918,7
1919,9
1920,8
1921,12
1922,18
1923,13
1924,14
1925,11
1926,9
1927,11
1928,10
1929,8
1930,8
1931,8
1932,12
1933,20
1934,16
1935,13
1936,8
1937,18
1938,19
1939,9
1940,5
1941,9
1942,9
1943,5
1944,12
1945,12
1946,12
1947,18
1948,23
1949,23
1950,23
1951,27
1952,23
1953,19
1954,15
1955,22
1956,23
1957,11
1958,16
1959,9
1960,10
1961,8
1962,10
1963,9
1964,9
1965,10
1966,7
1967,13
1968,12
1969,14
1970,18
1971,11
1972,16
1973,10
1974,10
1975,11
1976,10
1977,13
1978,15
1979,12
1980,10
1981,7
1982,6
1983,12
1984,9
1985,8
1986,6
1987,6
1988,8
1989,7
1990,9
1991,0
1992,0
1993,7
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
