year,Milissa
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,5
1951,5
1952,5
1953,7
1954,15
1955,18
1956,24
1957,32
1958,44
1959,47
1960,44
1961,40
1962,63
1963,60
1964,72
1965,85
1966,110
1967,136
1968,163
1969,135
1970,157
1971,130
1972,138
1973,97
1974,128
1975,89
1976,95
1977,103
1978,92
1979,96
1980,85
1981,87
1982,92
1983,60
1984,71
1985,62
1986,44
1987,56
1988,53
1989,28
1990,34
1991,19
1992,13
1993,14
1994,11
1995,6
1996,0
1997,7
1998,6
1999,8
2000,0
2001,0
2002,0
2003,0
2004,5
2005,0
2006,0
2007,0
2008,7
2009,0
2010,0
2011,0
2012,0
