year,Morris (F),Morris (M)
1880,0.000000,0.000382
1881,0.000000,0.000451
1882,0.000000,0.000366
1883,0.000000,0.000346
1884,0.000000,0.000320
1885,0.000000,0.000411
1886,0.000000,0.000376
1887,0.000000,0.000384
1888,0.000000,0.000317
1889,0.000000,0.000388
1890,0.000000,0.000309
1891,0.000000,0.000338
1892,0.000000,0.000407
1893,0.000000,0.000347
1894,0.000000,0.000360
1895,0.000000,0.000356
1896,0.000000,0.000380
1897,0.000000,0.000380
1898,0.000000,0.000430
1899,0.000000,0.000342
1900,0.000000,0.000360
1901,0.000000,0.000422
1902,0.000000,0.000388
1903,0.000000,0.000467
1904,0.000000,0.000434
1905,0.000000,0.000443
1906,0.000000,0.000527
1907,0.000000,0.000559
1908,0.000000,0.000550
1909,0.000000,0.000597
1910,0.000000,0.000621
1911,0.000012,0.000742
1912,0.000000,0.000972
1913,0.000000,0.000944
1914,0.000006,0.000964
1915,0.000005,0.000906
1916,0.000005,0.000836
1917,0.000003,0.000809
1918,0.000005,0.000773
1919,0.000006,0.000788
1920,0.000006,0.000711
1921,0.000005,0.000715
1922,0.000005,0.000712
1923,0.000003,0.000676
1924,0.000007,0.000629
1925,0.000004,0.000600
1926,0.000003,0.000569
1927,0.000004,0.000528
1928,0.000003,0.000511
1929,0.000006,0.000498
1930,0.000004,0.000453
1931,0.000006,0.000470
1932,0.000006,0.000447
1933,0.000005,0.000434
1934,0.000004,0.000448
1935,0.000006,0.000434
1936,0.000000,0.000408
1937,0.000005,0.000402
1938,0.000002,0.000379
1939,0.000004,0.000421
1940,0.000003,0.000396
1941,0.000004,0.000359
1942,0.000000,0.000333
1943,0.000005,0.000324
1944,0.000002,0.000307
1945,0.000004,0.000291
1946,0.000003,0.000286
1947,0.000001,0.000279
1948,0.000002,0.000244
1949,0.000003,0.000238
1950,0.000003,0.000261
1951,0.000000,0.000244
1952,0.000003,0.000238
1953,0.000002,0.000218
1954,0.000001,0.000230
1955,0.000002,0.000205
1956,0.000002,0.000199
1957,0.000003,0.000185
1958,0.000000,0.000171
1959,0.000002,0.000173
1960,0.000003,0.000157
1961,0.000003,0.000160
1962,0.000002,0.000156
1963,0.000000,0.000149
1964,0.000002,0.000152
1965,0.000000,0.000143
1966,0.000000,0.000136
1967,0.000000,0.000120
1968,0.000000,0.000127
1969,0.000000,0.000115
1970,0.000001,0.000111
1971,0.000001,0.000108
1972,0.000000,0.000097
1973,0.000000,0.000089
1974,0.000000,0.000089
1975,0.000000,0.000080
1976,0.000000,0.000087
1977,0.000000,0.000073
1978,0.000002,0.000072
1979,0.000000,0.000065
1980,0.000002,0.000057
1981,0.000000,0.000064
1982,0.000000,0.000056
1983,0.000002,0.000053
1984,0.000000,0.000052
1985,0.000002,0.000057
1986,0.000000,0.000063
1987,0.000000,0.000052
1988,0.000000,0.000046
1989,0.000000,0.000050
1990,0.000000,0.000045
1991,0.000000,0.000047
1992,0.000000,0.000039
1993,0.000000,0.000039
1994,0.000000,0.000034
1995,0.000000,0.000031
1996,0.000000,0.000023
1997,0.000000,0.000024
1998,0.000000,0.000029
1999,0.000000,0.000030
2000,0.000000,0.000027
2001,0.000000,0.000022
2002,0.000000,0.000025
2003,0.000000,0.000029
2004,0.000000,0.000024
2005,0.000000,0.000021
2006,0.000000,0.000024
2007,0.000000,0.000027
2008,0.000000,0.000028
2009,0.000000,0.000032
2010,0.000000,0.000026
2011,0.000000,0.000024
2012,0.000000,0.000026
2013,0.000000,0.000026
