year,Marven
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,9
1916,13
1917,10
1918,13
1919,16
1920,19
1921,18
1922,15
1923,18
1924,9
1925,16
1926,19
1927,18
1928,13
1929,11
1930,19
1931,12
1932,15
1933,17
1934,9
1935,13
1936,13
1937,8
1938,10
1939,12
1940,11
1941,5
1942,7
1943,5
1944,5
1945,0
1946,7
1947,8
1948,5
1949,6
1950,7
1951,9
1952,8
1953,6
1954,6
1955,5
1956,0
1957,7
1958,0
1959,11
1960,9
1961,0
1962,0
1963,0
1964,5
1965,0
1966,9
1967,0
1968,5
1969,11
1970,5
1971,5
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,5
1986,0
1987,0
1988,5
1989,6
1990,6
1991,6
1992,0
1993,7
1994,10
1995,0
1996,8
1997,5
1998,0
1999,6
2000,5
2001,8
2002,7
2003,14
2004,10
2005,12
2006,0
2007,6
2008,7
2009,0
2010,0
2011,11
2012,7
