year,Merrill (F),Merrill (M)
1880,0.000000,0.000065
1881,0.000000,0.000036
1882,0.000000,0.000045
1883,0.000000,0.000092
1884,0.000000,0.000045
1885,0.000000,0.000042
1886,0.000000,0.000020
1887,0.000000,0.000049
1888,0.000000,0.000047
1889,0.000000,0.000031
1890,0.000000,0.000046
1891,0.000000,0.000038
1892,0.000000,0.000033
1893,0.000000,0.000080
1894,0.000000,0.000047
1895,0.000000,0.000071
1896,0.000000,0.000064
1897,0.000000,0.000061
1898,0.000000,0.000071
1899,0.000000,0.000080
1900,0.000000,0.000051
1901,0.000000,0.000075
1902,0.000000,0.000067
1903,0.000000,0.000081
1904,0.000000,0.000084
1905,0.000012,0.000083
1906,0.000012,0.000077
1907,0.000000,0.000071
1908,0.000000,0.000070
1909,0.000012,0.000082
1910,0.000000,0.000066
1911,0.000000,0.000088
1912,0.000012,0.000120
1913,0.000005,0.000120
1914,0.000007,0.000117
1915,0.000006,0.000142
1916,0.000008,0.000140
1917,0.000007,0.000128
1918,0.000008,0.000136
1919,0.000004,0.000132
1920,0.000008,0.000128
1921,0.000006,0.000121
1922,0.000003,0.000121
1923,0.000006,0.000120
1924,0.000005,0.000112
1925,0.000008,0.000125
1926,0.000007,0.000133
1927,0.000004,0.000122
1928,0.000008,0.000123
1929,0.000007,0.000123
1930,0.000004,0.000117
1931,0.000006,0.000122
1932,0.000007,0.000115
1933,0.000007,0.000104
1934,0.000006,0.000115
1935,0.000011,0.000090
1936,0.000007,0.000112
1937,0.000009,0.000104
1938,0.000009,0.000097
1939,0.000005,0.000107
1940,0.000008,0.000093
1941,0.000008,0.000086
1942,0.000015,0.000084
1943,0.000009,0.000086
1944,0.000005,0.000065
1945,0.000012,0.000064
1946,0.000012,0.000060
1947,0.000012,0.000054
1948,0.000011,0.000047
1949,0.000015,0.000043
1950,0.000015,0.000047
1951,0.000012,0.000041
1952,0.000013,0.000043
1953,0.000013,0.000039
1954,0.000013,0.000038
1955,0.000011,0.000037
1956,0.000008,0.000036
1957,0.000007,0.000035
1958,0.000009,0.000028
1959,0.000007,0.000025
1960,0.000008,0.000027
1961,0.000008,0.000025
1962,0.000005,0.000022
1963,0.000007,0.000024
1964,0.000006,0.000018
1965,0.000005,0.000019
1966,0.000008,0.000016
1967,0.000004,0.000018
1968,0.000009,0.000019
1969,0.000006,0.000016
1970,0.000005,0.000014
1971,0.000005,0.000015
1972,0.000005,0.000013
1973,0.000005,0.000013
1974,0.000004,0.000015
1975,0.000003,0.000014
1976,0.000003,0.000017
1977,0.000003,0.000015
1978,0.000004,0.000016
1979,0.000002,0.000015
1980,0.000007,0.000015
1981,0.000006,0.000012
1982,0.000004,0.000009
1983,0.000004,0.000012
1984,0.000004,0.000009
1985,0.000005,0.000008
1986,0.000006,0.000006
1987,0.000004,0.000009
1988,0.000003,0.000005
1989,0.000004,0.000005
1990,0.000005,0.000006
1991,0.000004,0.000009
1992,0.000005,0.000005
1993,0.000003,0.000006
1994,0.000004,0.000004
1995,0.000005,0.000005
1996,0.000003,0.000004
1997,0.000002,0.000004
1998,0.000003,0.000002
1999,0.000005,0.000005
2000,0.000003,0.000002
2001,0.000002,0.000002
2002,0.000003,0.000000
2003,0.000002,0.000003
2004,0.000003,0.000003
2005,0.000002,0.000003
2006,0.000004,0.000002
2007,0.000003,0.000002
2008,0.000003,0.000003
2009,0.000003,0.000002
2010,0.000003,0.000003
2011,0.000002,0.000003
2012,0.000003,0.000002
2013,0.000002,0.000002
