year,Marlise
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,5
1945,0
1946,5
1947,0
1948,5
1949,0
1950,6
1951,11
1952,0
1953,0
1954,0
1955,12
1956,0
1957,5
1958,10
1959,5
1960,0
1961,8
1962,16
1963,12
1964,8
1965,11
1966,8
1967,9
1968,10
1969,8
1970,15
1971,10
1972,8
1973,7
1974,0
1975,8
1976,0
1977,9
1978,5
1979,9
1980,11
1981,0
1982,9
1983,0
1984,6
1985,7
1986,5
1987,8
1988,15
1989,10
1990,8
1991,0
1992,0
1993,9
1994,0
1995,0
1996,0
1997,7
1998,5
1999,0
2000,6
2001,0
2002,0
2003,5
2004,6
2005,0
2006,6
2007,0
2008,6
2009,0
2010,0
2011,0
2012,0
