year,Mose (F),Mose (M)
1880,0.000000,0.000258
1881,0.000000,0.000327
1882,0.000000,0.000348
1883,0.000000,0.000300
1884,0.000000,0.000279
1885,0.000000,0.000208
1886,0.000000,0.000270
1887,0.000000,0.000222
1888,0.000000,0.000207
1889,0.000000,0.000197
1890,0.000000,0.000189
1891,0.000000,0.000192
1892,0.000000,0.000203
1893,0.000000,0.000194
1894,0.000000,0.000174
1895,0.000000,0.000177
1896,0.000000,0.000126
1897,0.000000,0.000124
1898,0.000000,0.000115
1899,0.000000,0.000174
1900,0.000000,0.000167
1901,0.000000,0.000142
1902,0.000000,0.000153
1903,0.000000,0.000152
1904,0.000000,0.000173
1905,0.000000,0.000137
1906,0.000000,0.000112
1907,0.000000,0.000120
1908,0.000000,0.000133
1909,0.000000,0.000123
1910,0.000000,0.000120
1911,0.000000,0.000124
1912,0.000000,0.000100
1913,0.000000,0.000080
1914,0.000004,0.000079
1915,0.000000,0.000070
1916,0.000000,0.000071
1917,0.000000,0.000057
1918,0.000003,0.000070
1919,0.000000,0.000080
1920,0.000000,0.000054
1921,0.000002,0.000064
1922,0.000000,0.000063
1923,0.000003,0.000042
1924,0.000000,0.000048
1925,0.000000,0.000043
1926,0.000000,0.000046
1927,0.000000,0.000056
1928,0.000000,0.000052
1929,0.000000,0.000044
1930,0.000000,0.000046
1931,0.000000,0.000039
1932,0.000003,0.000053
1933,0.000000,0.000046
1934,0.000004,0.000036
1935,0.000000,0.000037
1936,0.000000,0.000030
1937,0.000003,0.000031
1938,0.000000,0.000041
1939,0.000000,0.000029
1940,0.000000,0.000034
1941,0.000000,0.000028
1942,0.000002,0.000038
1943,0.000000,0.000026
1944,0.000002,0.000033
1945,0.000000,0.000033
1946,0.000000,0.000026
1947,0.000000,0.000021
1948,0.000000,0.000025
1949,0.000000,0.000021
1950,0.000000,0.000024
1951,0.000000,0.000025
1952,0.000000,0.000024
1953,0.000000,0.000017
1954,0.000000,0.000014
1955,0.000000,0.000014
1956,0.000000,0.000012
1957,0.000000,0.000010
1958,0.000000,0.000014
1959,0.000000,0.000012
1960,0.000000,0.000011
1961,0.000000,0.000008
1962,0.000000,0.000012
1963,0.000000,0.000012
1964,0.000000,0.000009
1965,0.000000,0.000008
1966,0.000000,0.000009
1967,0.000000,0.000014
1968,0.000000,0.000013
1969,0.000000,0.000011
1970,0.000000,0.000007
1971,0.000000,0.000010
1972,0.000000,0.000012
1973,0.000000,0.000005
1974,0.000000,0.000008
1975,0.000000,0.000007
1976,0.000000,0.000011
1977,0.000000,0.000008
1978,0.000000,0.000008
1979,0.000000,0.000007
1980,0.000000,0.000007
1981,0.000000,0.000007
1982,0.000000,0.000007
1983,0.000000,0.000005
1984,0.000000,0.000005
1985,0.000000,0.000005
1986,0.000000,0.000006
1987,0.000000,0.000005
1988,0.000000,0.000005
1989,0.000000,0.000004
1990,0.000000,0.000007
1991,0.000000,0.000008
1992,0.000000,0.000004
1993,0.000000,0.000003
1994,0.000000,0.000004
1995,0.000000,0.000004
1996,0.000000,0.000005
1997,0.000000,0.000005
1998,0.000000,0.000002
1999,0.000000,0.000003
2000,0.000000,0.000003
2001,0.000000,0.000003
2002,0.000000,0.000003
2003,0.000000,0.000004
2004,0.000000,0.000003
2005,0.000000,0.000003
2006,0.000000,0.000004
2007,0.000000,0.000003
2008,0.000000,0.000004
2009,0.000000,0.000003
2010,0.000000,0.000003
2011,0.000000,0.000004
2012,0.000000,0.000005
2013,0.000000,0.000005
