year,Marcea
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,5
1943,0
1944,0
1945,0
1946,0
1947,0
1948,8
1949,0
1950,0
1951,0
1952,7
1953,0
1954,6
1955,6
1956,6
1957,0
1958,6
1959,7
1960,6
1961,7
1962,9
1963,9
1964,5
1965,7
1966,0
1967,6
1968,5
1969,10
1970,7
1971,8
1972,0
1973,5
1974,10
1975,8
1976,0
1977,9
1978,0
1979,8
1980,9
1981,6
1982,6
1983,10
1984,0
1985,0
1986,0
1987,0
1988,5
1989,0
1990,0
1991,0
1992,6
1993,5
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,5
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
