year,Mariaelena
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,5
1936,0
1937,0
1938,0
1939,7
1940,7
1941,15
1942,13
1943,7
1944,13
1945,11
1946,10
1947,11
1948,0
1949,11
1950,0
1951,6
1952,5
1953,6
1954,5
1955,0
1956,0
1957,0
1958,7
1959,9
1960,11
1961,17
1962,21
1963,15
1964,24
1965,31
1966,24
1967,21
1968,20
1969,23
1970,25
1971,34
1972,28
1973,30
1974,21
1975,40
1976,28
1977,24
1978,26
1979,25
1980,33
1981,29
1982,39
1983,43
1984,29
1985,38
1986,32
1987,39
1988,33
1989,32
1990,36
1991,28
1992,48
1993,45
1994,33
1995,40
1996,39
1997,56
1998,58
1999,43
2000,34
2001,32
2002,41
2003,31
2004,37
2005,29
2006,33
2007,34
2008,29
2009,36
2010,21
2011,20
2012,20
