year,Mireya
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,6
1952,5
1953,0
1954,10
1955,5
1956,9
1957,9
1958,6
1959,12
1960,11
1961,9
1962,10
1963,10
1964,7
1965,17
1966,13
1967,24
1968,19
1969,30
1970,45
1971,52
1972,74
1973,84
1974,67
1975,80
1976,80
1977,90
1978,82
1979,103
1980,107
1981,88
1982,83
1983,76
1984,69
1985,75
1986,73
1987,95
1988,68
1989,108
1990,102
1991,133
1992,176
1993,162
1994,166
1995,150
1996,283
1997,567
1998,438
1999,331
2000,245
2001,262
2002,267
2003,275
2004,254
2005,273
2006,262
2007,250
2008,281
2009,265
2010,195
2011,173
2012,155
