year,Madelyne
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,5
1912,7
1913,15
1914,10
1915,12
1916,20
1917,21
1918,21
1919,21
1920,17
1921,20
1922,21
1923,23
1924,25
1925,15
1926,15
1927,10
1928,16
1929,12
1930,0
1931,8
1932,13
1933,0
1934,7
1935,10
1936,10
1937,6
1938,8
1939,12
1940,8
1941,5
1942,14
1943,14
1944,6
1945,10
1946,12
1947,14
1948,9
1949,13
1950,5
1951,9
1952,8
1953,7
1954,7
1955,6
1956,7
1957,5
1958,7
1959,6
1960,8
1961,9
1962,5
1963,5
1964,7
1965,5
1966,5
1967,7
1968,6
1969,7
1970,0
1971,5
1972,8
1973,11
1974,10
1975,13
1976,10
1977,11
1978,0
1979,0
1980,5
1981,10
1982,8
1983,0
1984,0
1985,6
1986,16
1987,22
1988,13
1989,26
1990,28
1991,37
1992,33
1993,32
1994,49
1995,81
1996,66
1997,77
1998,109
1999,106
2000,129
2001,126
2002,110
2003,123
2004,115
2005,92
2006,111
2007,100
2008,106
2009,100
2010,86
2011,79
2012,55
