year,Mechelle
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,7
1948,10
1949,8
1950,0
1951,18
1952,9
1953,15
1954,17
1955,25
1956,38
1957,36
1958,61
1959,65
1960,53
1961,86
1962,89
1963,103
1964,89
1965,118
1966,262
1967,268
1968,287
1969,263
1970,226
1971,228
1972,175
1973,142
1974,138
1975,112
1976,71
1977,90
1978,77
1979,94
1980,58
1981,62
1982,62
1983,47
1984,61
1985,45
1986,45
1987,55
1988,69
1989,46
1990,83
1991,60
1992,49
1993,41
1994,30
1995,29
1996,24
1997,17
1998,16
1999,24
2000,23
2001,12
2002,15
2003,12
2004,10
2005,11
2006,17
2007,8
2008,12
2009,14
2010,9
2011,5
2012,0
