year,Mettie
1880,13
1881,11
1882,8
1883,11
1884,11
1885,14
1886,15
1887,16
1888,17
1889,13
1890,25
1891,27
1892,22
1893,16
1894,16
1895,27
1896,22
1897,17
1898,18
1899,12
1900,20
1901,21
1902,11
1903,17
1904,9
1905,12
1906,13
1907,18
1908,17
1909,27
1910,18
1911,10
1912,17
1913,16
1914,11
1915,17
1916,17
1917,17
1918,30
1919,21
1920,17
1921,11
1922,27
1923,18
1924,18
1925,19
1926,19
1927,16
1928,23
1929,12
1930,16
1931,13
1932,13
1933,13
1934,11
1935,10
1936,10
1937,9
1938,9
1939,10
1940,11
1941,8
1942,7
1943,11
1944,10
1945,9
1946,5
1947,0
1948,5
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
