year,Mellissa
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,5
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,5
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,7
1951,11
1952,7
1953,13
1954,12
1955,11
1956,20
1957,16
1958,20
1959,26
1960,28
1961,39
1962,33
1963,50
1964,50
1965,69
1966,113
1967,147
1968,172
1969,173
1970,190
1971,159
1972,171
1973,175
1974,167
1975,171
1976,169
1977,230
1978,218
1979,271
1980,250
1981,227
1982,197
1983,173
1984,155
1985,184
1986,135
1987,144
1988,146
1989,117
1990,129
1991,98
1992,96
1993,70
1994,62
1995,67
1996,60
1997,42
1998,44
1999,36
2000,25
2001,25
2002,28
2003,21
2004,20
2005,15
2006,22
2007,17
2008,17
2009,11
2010,13
2011,10
2012,6
