year,Margaretta
1880,5
1881,9
1882,6
1883,0
1884,15
1885,14
1886,6
1887,8
1888,16
1889,18
1890,16
1891,18
1892,9
1893,18
1894,20
1895,16
1896,16
1897,15
1898,16
1899,12
1900,17
1901,13
1902,10
1903,21
1904,11
1905,21
1906,15
1907,23
1908,22
1909,26
1910,21
1911,24
1912,23
1913,45
1914,37
1915,76
1916,58
1917,58
1918,59
1919,43
1920,55
1921,54
1922,63
1923,57
1924,56
1925,44
1926,49
1927,32
1928,34
1929,31
1930,29
1931,22
1932,34
1933,17
1934,21
1935,38
1936,21
1937,34
1938,31
1939,36
1940,24
1941,31
1942,29
1943,42
1944,37
1945,30
1946,31
1947,32
1948,26
1949,37
1950,34
1951,22
1952,29
1953,31
1954,19
1955,34
1956,17
1957,21
1958,19
1959,21
1960,17
1961,17
1962,15
1963,18
1964,19
1965,24
1966,18
1967,10
1968,8
1969,11
1970,15
1971,16
1972,9
1973,9
1974,8
1975,8
1976,12
1977,7
1978,11
1979,6
1980,14
1981,7
1982,9
1983,8
1984,8
1985,5
1986,0
1987,0
1988,6
1989,0
1990,0
1991,0
1992,0
1993,8
1994,0
1995,6
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,5
2008,0
2009,0
2010,0
2011,0
2012,0
