year,Marco (F),Marco (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000008
1911,0.000000,0.000017
1912,0.000000,0.000016
1913,0.000000,0.000018
1914,0.000000,0.000021
1915,0.000000,0.000021
1916,0.000000,0.000021
1917,0.000000,0.000017
1918,0.000000,0.000022
1919,0.000000,0.000016
1920,0.000000,0.000021
1921,0.000000,0.000021
1922,0.000000,0.000023
1923,0.000000,0.000020
1924,0.000000,0.000018
1925,0.000000,0.000023
1926,0.000000,0.000021
1927,0.000000,0.000020
1928,0.000000,0.000015
1929,0.000000,0.000022
1930,0.000000,0.000023
1931,0.000000,0.000026
1932,0.000000,0.000017
1933,0.000000,0.000018
1934,0.000000,0.000016
1935,0.000000,0.000013
1936,0.000000,0.000013
1937,0.000000,0.000014
1938,0.000000,0.000019
1939,0.000002,0.000017
1940,0.000000,0.000015
1941,0.000000,0.000015
1942,0.000000,0.000014
1943,0.000000,0.000018
1944,0.000000,0.000018
1945,0.000000,0.000014
1946,0.000000,0.000013
1947,0.000000,0.000019
1948,0.000000,0.000015
1949,0.000000,0.000018
1950,0.000000,0.000023
1951,0.000000,0.000026
1952,0.000000,0.000029
1953,0.000000,0.000026
1954,0.000000,0.000029
1955,0.000000,0.000029
1956,0.000000,0.000033
1957,0.000000,0.000034
1958,0.000000,0.000040
1959,0.000000,0.000050
1960,0.000000,0.000050
1961,0.000001,0.000052
1962,0.000000,0.000077
1963,0.000000,0.000084
1964,0.000000,0.000090
1965,0.000002,0.000106
1966,0.000002,0.000114
1967,0.000000,0.000128
1968,0.000000,0.000143
1969,0.000002,0.000170
1970,0.000002,0.000196
1971,0.000002,0.000219
1972,0.000004,0.000230
1973,0.000003,0.000258
1974,0.000003,0.000246
1975,0.000002,0.000249
1976,0.000002,0.000259
1977,0.000005,0.000265
1978,0.000007,0.000268
1979,0.000002,0.000287
1980,0.000002,0.000293
1981,0.000005,0.000260
1982,0.000003,0.000294
1983,0.000002,0.000261
1984,0.000002,0.000256
1985,0.000004,0.000270
1986,0.000003,0.000256
1987,0.000003,0.000266
1988,0.000002,0.000292
1989,0.000002,0.000300
1990,0.000002,0.000339
1991,0.000003,0.000389
1992,0.000002,0.000410
1993,0.000003,0.000437
1994,0.000003,0.000454
1995,0.000003,0.000482
1996,0.000001,0.000528
1997,0.000000,0.000531
1998,0.000003,0.000504
1999,0.000002,0.000480
2000,0.000001,0.000535
2001,0.000000,0.000563
2002,0.000002,0.000542
2003,0.000000,0.000516
2004,0.000002,0.000526
2005,0.000000,0.000551
2006,0.000000,0.000472
2007,0.000000,0.000468
2008,0.000002,0.000428
2009,0.000000,0.000384
2010,0.000000,0.000355
2011,0.000000,0.000343
2012,0.000000,0.000358
