year,Merinda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,5
1920,0
1921,0
1922,0
1923,5
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,5
1943,0
1944,0
1945,0
1946,0
1947,5
1948,5
1949,6
1950,0
1951,6
1952,10
1953,5
1954,9
1955,0
1956,13
1957,7
1958,15
1959,10
1960,10
1961,13
1962,14
1963,11
1964,13
1965,10
1966,11
1967,21
1968,11
1969,8
1970,16
1971,17
1972,13
1973,16
1974,19
1975,10
1976,14
1977,17
1978,9
1979,18
1980,15
1981,17
1982,15
1983,0
1984,17
1985,6
1986,11
1987,9
1988,12
1989,8
1990,11
1991,9
1992,0
1993,9
1994,9
1995,8
1996,8
1997,6
1998,9
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,6
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
