year,Maryrose
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,5
1911,0
1912,7
1913,0
1914,9
1915,12
1916,12
1917,14
1918,17
1919,26
1920,16
1921,29
1922,33
1923,18
1924,33
1925,19
1926,44
1927,24
1928,30
1929,13
1930,22
1931,22
1932,13
1933,15
1934,9
1935,10
1936,18
1937,21
1938,24
1939,24
1940,23
1941,17
1942,26
1943,28
1944,30
1945,17
1946,25
1947,30
1948,22
1949,30
1950,26
1951,37
1952,38
1953,23
1954,31
1955,21
1956,21
1957,21
1958,30
1959,27
1960,41
1961,34
1962,40
1963,25
1964,29
1965,22
1966,19
1967,16
1968,13
1969,10
1970,8
1971,17
1972,9
1973,10
1974,9
1975,6
1976,19
1977,16
1978,10
1979,12
1980,10
1981,13
1982,20
1983,14
1984,25
1985,16
1986,24
1987,17
1988,18
1989,21
1990,28
1991,23
1992,27
1993,26
1994,21
1995,19
1996,24
1997,28
1998,24
1999,23
2000,27
2001,28
2002,28
2003,39
2004,15
2005,13
2006,14
2007,21
2008,13
2009,21
2010,8
2011,15
2012,13
