year,Maira
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,5
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,6
1954,8
1955,6
1956,6
1957,11
1958,18
1959,8
1960,11
1961,10
1962,10
1963,15
1964,14
1965,17
1966,14
1967,18
1968,25
1969,33
1970,21
1971,18
1972,25
1973,29
1974,29
1975,28
1976,31
1977,36
1978,80
1979,86
1980,144
1981,111
1982,116
1983,150
1984,156
1985,174
1986,184
1987,207
1988,176
1989,230
1990,250
1991,277
1992,290
1993,269
1994,244
1995,205
1996,186
1997,146
1998,143
1999,137
2000,110
2001,122
2002,121
2003,76
2004,95
2005,79
2006,78
2007,75
2008,76
2009,89
2010,89
2011,68
2012,66
