year,Marleen
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,6
1927,6
1928,5
1929,6
1930,8
1931,24
1932,29
1933,23
1934,28
1935,47
1936,55
1937,56
1938,51
1939,85
1940,72
1941,44
1942,68
1943,81
1944,65
1945,79
1946,86
1947,103
1948,116
1949,108
1950,125
1951,134
1952,117
1953,132
1954,122
1955,98
1956,64
1957,52
1958,50
1959,43
1960,54
1961,43
1962,57
1963,62
1964,51
1965,47
1966,41
1967,33
1968,47
1969,38
1970,58
1971,40
1972,29
1973,25
1974,31
1975,25
1976,20
1977,33
1978,28
1979,25
1980,21
1981,35
1982,23
1983,17
1984,24
1985,20
1986,24
1987,19
1988,25
1989,20
1990,28
1991,27
1992,24
1993,35
1994,30
1995,24
1996,18
1997,27
1998,41
1999,34
2000,31
2001,30
2002,32
2003,27
2004,33
2005,29
2006,42
2007,80
2008,33
2009,26
2010,28
2011,23
2012,28
