year,Myrtice
1880,0
1881,8
1882,0
1883,6
1884,0
1885,6
1886,6
1887,6
1888,5
1889,7
1890,5
1891,8
1892,5
1893,8
1894,12
1895,11
1896,21
1897,21
1898,28
1899,25
1900,21
1901,22
1902,28
1903,17
1904,21
1905,33
1906,26
1907,46
1908,46
1909,43
1910,51
1911,61
1912,59
1913,87
1914,84
1915,112
1916,128
1917,133
1918,152
1919,133
1920,128
1921,144
1922,139
1923,126
1924,149
1925,141
1926,130
1927,127
1928,120
1929,105
1930,74
1931,88
1932,99
1933,77
1934,84
1935,61
1936,66
1937,64
1938,63
1939,70
1940,55
1941,46
1942,53
1943,39
1944,44
1945,33
1946,39
1947,40
1948,39
1949,35
1950,32
1951,36
1952,28
1953,38
1954,21
1955,27
1956,31
1957,13
1958,20
1959,10
1960,16
1961,19
1962,15
1963,16
1964,12
1965,9
1966,5
1967,8
1968,0
1969,0
1970,5
1971,7
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,5
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
