year,Mariea
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,5
1924,0
1925,10
1926,0
1927,0
1928,0
1929,5
1930,7
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,7
1942,8
1943,13
1944,11
1945,6
1946,10
1947,15
1948,7
1949,14
1950,12
1951,6
1952,15
1953,6
1954,17
1955,9
1956,13
1957,12
1958,17
1959,14
1960,12
1961,10
1962,17
1963,8
1964,19
1965,17
1966,18
1967,20
1968,14
1969,13
1970,8
1971,13
1972,9
1973,17
1974,9
1975,17
1976,7
1977,10
1978,12
1979,13
1980,19
1981,12
1982,12
1983,15
1984,6
1985,6
1986,6
1987,9
1988,14
1989,11
1990,7
1991,0
1992,6
1993,7
1994,0
1995,5
1996,5
1997,8
1998,8
1999,8
2000,10
2001,0
2002,0
2003,0
2004,0
2005,6
2006,0
2007,7
2008,0
2009,6
2010,7
2011,0
2012,8
