year,Marcelene
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,11
1917,5
1918,9
1919,10
1920,12
1921,9
1922,11
1923,10
1924,13
1925,18
1926,21
1927,31
1928,49
1929,45
1930,24
1931,38
1932,20
1933,29
1934,28
1935,26
1936,29
1937,29
1938,21
1939,15
1940,22
1941,14
1942,7
1943,13
1944,13
1945,15
1946,14
1947,16
1948,16
1949,22
1950,19
1951,12
1952,15
1953,14
1954,11
1955,12
1956,11
1957,7
1958,8
1959,15
1960,7
1961,11
1962,7
1963,10
1964,6
1965,6
1966,9
1967,6
1968,7
1969,8
1970,10
1971,9
1972,7
1973,0
1974,6
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,6
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
