year,Melford
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,6
1905,0
1906,0
1907,0
1908,5
1909,6
1910,0
1911,6
1912,13
1913,11
1914,20
1915,16
1916,33
1917,23
1918,31
1919,20
1920,24
1921,46
1922,30
1923,41
1924,32
1925,40
1926,26
1927,31
1928,31
1929,33
1930,27
1931,21
1932,21
1933,24
1934,18
1935,20
1936,22
1937,30
1938,23
1939,20
1940,15
1941,20
1942,21
1943,19
1944,10
1945,19
1946,21
1947,18
1948,22
1949,19
1950,15
1951,21
1952,17
1953,13
1954,11
1955,13
1956,13
1957,12
1958,8
1959,12
1960,0
1961,9
1962,6
1963,12
1964,8
1965,6
1966,0
1967,6
1968,6
1969,0
1970,5
1971,9
1972,8
1973,0
1974,7
1975,7
1976,5
1977,5
1978,0
1979,0
1980,0
1981,0
1982,7
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
