year,Maryjean
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,8
1921,15
1922,9
1923,16
1924,10
1925,11
1926,17
1927,7
1928,10
1929,8
1930,9
1931,7
1932,14
1933,14
1934,10
1935,9
1936,7
1937,20
1938,12
1939,5
1940,14
1941,9
1942,23
1943,29
1944,31
1945,20
1946,20
1947,20
1948,18
1949,25
1950,13
1951,24
1952,11
1953,22
1954,23
1955,16
1956,16
1957,20
1958,32
1959,26
1960,34
1961,32
1962,25
1963,32
1964,30
1965,19
1966,10
1967,14
1968,0
1969,14
1970,5
1971,9
1972,6
1973,6
1974,20
1975,5
1976,10
1977,5
1978,7
1979,5
1980,7
1981,11
1982,12
1983,8
1984,7
1985,0
1986,12
1987,5
1988,7
1989,6
1990,0
1991,0
1992,12
1993,5
1994,9
1995,5
1996,8
1997,6
1998,0
1999,5
2000,0
2001,5
2002,0
2003,0
2004,6
2005,0
2006,0
2007,0
2008,8
2009,0
2010,0
2011,0
2012,6
