year,Maryjo
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,6
1916,10
1917,12
1918,8
1919,8
1920,10
1921,16
1922,15
1923,24
1924,20
1925,12
1926,17
1927,17
1928,14
1929,15
1930,15
1931,17
1932,16
1933,25
1934,34
1935,44
1936,39
1937,49
1938,65
1939,67
1940,64
1941,78
1942,106
1943,121
1944,94
1945,93
1946,135
1947,130
1948,106
1949,135
1950,123
1951,133
1952,152
1953,173
1954,195
1955,158
1956,164
1957,196
1958,193
1959,198
1960,293
1961,294
1962,285
1963,251
1964,255
1965,164
1966,149
1967,125
1968,132
1969,135
1970,125
1971,94
1972,88
1973,65
1974,81
1975,59
1976,51
1977,67
1978,56
1979,53
1980,42
1981,47
1982,40
1983,44
1984,34
1985,34
1986,27
1987,47
1988,41
1989,25
1990,27
1991,26
1992,31
1993,26
1994,33
1995,22
1996,23
1997,31
1998,23
1999,13
2000,26
2001,17
2002,21
2003,11
2004,11
2005,20
2006,16
2007,16
2008,19
2009,5
2010,6
2011,9
2012,8
