year,Minta
1880,25
1881,12
1882,16
1883,12
1884,16
1885,14
1886,15
1887,17
1888,14
1889,17
1890,13
1891,15
1892,24
1893,19
1894,25
1895,11
1896,15
1897,15
1898,16
1899,17
1900,11
1901,20
1902,13
1903,13
1904,7
1905,10
1906,13
1907,10
1908,11
1909,10
1910,8
1911,7
1912,9
1913,17
1914,16
1915,20
1916,15
1917,20
1918,11
1919,20
1920,16
1921,28
1922,20
1923,23
1924,21
1925,21
1926,13
1927,14
1928,12
1929,10
1930,21
1931,10
1932,14
1933,6
1934,16
1935,14
1936,6
1937,7
1938,11
1939,7
1940,6
1941,13
1942,8
1943,8
1944,9
1945,6
1946,18
1947,10
1948,10
1949,11
1950,8
1951,8
1952,12
1953,10
1954,12
1955,9
1956,12
1957,5
1958,13
1959,8
1960,9
1961,7
1962,8
1963,6
1964,8
1965,6
1966,0
1967,6
1968,10
1969,0
1970,8
1971,6
1972,7
1973,9
1974,10
1975,8
1976,11
1977,10
1978,9
1979,5
1980,8
1981,6
1982,11
1983,7
1984,0
1985,6
1986,0
1987,5
1988,8
1989,6
1990,0
1991,0
1992,0
1993,7
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
