year,Mila
1880,0
1881,5
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,5
1890,7
1891,0
1892,7
1893,6
1894,0
1895,0
1896,0
1897,0
1898,5
1899,0
1900,5
1901,6
1902,0
1903,9
1904,5
1905,0
1906,0
1907,0
1908,0
1909,5
1910,0
1911,0
1912,10
1913,9
1914,16
1915,14
1916,18
1917,7
1918,14
1919,11
1920,14
1921,20
1922,24
1923,15
1924,14
1925,17
1926,15
1927,23
1928,22
1929,14
1930,18
1931,10
1932,17
1933,8
1934,14
1935,19
1936,13
1937,14
1938,12
1939,17
1940,12
1941,11
1942,17
1943,14
1944,15
1945,19
1946,15
1947,27
1948,19
1949,19
1950,12
1951,22
1952,19
1953,28
1954,26
1955,22
1956,30
1957,19
1958,26
1959,26
1960,22
1961,34
1962,26
1963,33
1964,20
1965,23
1966,19
1967,26
1968,27
1969,28
1970,23
1971,23
1972,22
1973,23
1974,15
1975,24
1976,17
1977,20
1978,13
1979,25
1980,19
1981,12
1982,14
1983,25
1984,29
1985,22
1986,0
1987,13
1988,10
1989,16
1990,21
1991,18
1992,25
1993,11
1994,18
1995,19
1996,26
1997,50
1998,61
1999,62
2000,78
2001,89
2002,131
2003,180
2004,192
2005,238
2006,370
2007,385
2008,553
2009,667
2010,879
2011,1795
2012,2641
