year,Melinda (F),Melinda (M)
1880,0.000069,0.000000
1881,0.000057,0.000000
1882,0.000045,0.000000
1883,0.000055,0.000000
1884,0.000029,0.000000
1885,0.000042,0.000000
1886,0.000074,0.000000
1887,0.000032,0.000000
1888,0.000070,0.000000
1889,0.000059,0.000000
1890,0.000043,0.000000
1891,0.000031,0.000000
1892,0.000060,0.000000
1893,0.000040,0.000000
1894,0.000041,0.000000
1895,0.000063,0.000000
1896,0.000039,0.000000
1897,0.000043,0.000000
1898,0.000052,0.000000
1899,0.000050,0.000000
1900,0.000044,0.000000
1901,0.000049,0.000000
1902,0.000026,0.000000
1903,0.000029,0.000000
1904,0.000045,0.000000
1905,0.000014,0.000000
1906,0.000026,0.000000
1907,0.000032,0.000000
1908,0.000029,0.000000
1909,0.000029,0.000000
1910,0.000027,0.000000
1911,0.000008,0.000000
1912,0.000024,0.000000
1913,0.000015,0.000000
1914,0.000016,0.000000
1915,0.000014,0.000000
1916,0.000012,0.000000
1917,0.000009,0.000000
1918,0.000010,0.000000
1919,0.000012,0.000000
1920,0.000010,0.000000
1921,0.000007,0.000000
1922,0.000010,0.000000
1923,0.000010,0.000000
1924,0.000010,0.000000
1925,0.000011,0.000000
1926,0.000007,0.000000
1927,0.000009,0.000000
1928,0.000004,0.000000
1929,0.000009,0.000000
1930,0.000009,0.000000
1931,0.000009,0.000000
1932,0.000009,0.000000
1933,0.000011,0.000000
1934,0.000010,0.000000
1935,0.000019,0.000000
1936,0.000023,0.000000
1937,0.000038,0.000000
1938,0.000049,0.000000
1939,0.000087,0.000000
1940,0.000131,0.000000
1941,0.000135,0.000000
1942,0.000162,0.000000
1943,0.000181,0.000000
1944,0.000146,0.000000
1945,0.000134,0.000000
1946,0.000151,0.000000
1947,0.000193,0.000000
1948,0.000244,0.000000
1949,0.000308,0.000000
1950,0.000332,0.000000
1951,0.000383,0.000000
1952,0.000399,0.000000
1953,0.000460,0.000000
1954,0.000491,0.000001
1955,0.000601,0.000001
1956,0.000658,0.000000
1957,0.000673,0.000000
1958,0.000710,0.000001
1959,0.000676,0.000002
1960,0.000733,0.000001
1961,0.000846,0.000002
1962,0.000955,0.000002
1963,0.000903,0.000002
1964,0.000952,0.000002
1965,0.001048,0.000002
1966,0.000974,0.000003
1967,0.001071,0.000002
1968,0.001128,0.000002
1969,0.001148,0.000004
1970,0.001171,0.000003
1971,0.001182,0.000006
1972,0.001168,0.000005
1973,0.001374,0.000004
1974,0.001233,0.000006
1975,0.001087,0.000006
1976,0.000987,0.000004
1977,0.000959,0.000003
1978,0.001123,0.000004
1979,0.001114,0.000004
1980,0.000930,0.000004
1981,0.000802,0.000002
1982,0.000687,0.000003
1983,0.000619,0.000003
1984,0.000639,0.000003
1985,0.000593,0.000001
1986,0.000551,0.000002
1987,0.000533,0.000002
1988,0.000509,0.000003
1989,0.000413,0.000002
1990,0.000350,0.000000
1991,0.000325,0.000000
1992,0.000283,0.000000
1993,0.000260,0.000000
1994,0.000206,0.000001
1995,0.000173,0.000000
1996,0.000148,0.000000
1997,0.000127,0.000000
1998,0.000113,0.000000
1999,0.000109,0.000000
2000,0.000089,0.000000
2001,0.000081,0.000000
2002,0.000065,0.000000
2003,0.000054,0.000000
2004,0.000057,0.000000
2005,0.000056,0.000000
2006,0.000064,0.000000
2007,0.000063,0.000000
2008,0.000064,0.000000
2009,0.000054,0.000000
2010,0.000062,0.000000
2011,0.000053,0.000000
2012,0.000047,0.000000
2013,0.000040,0.000000
