year,Mable (F),Mable (M)
1880,0.000412,0.000000
1881,0.000457,0.000000
1882,0.000564,0.000000
1883,0.000553,0.000000
1884,0.000571,0.000000
1885,0.000747,0.000000
1886,0.000732,0.000000
1887,0.000736,0.000000
1888,0.000698,0.000000
1889,0.000799,0.000000
1890,0.000820,0.000000
1891,0.000935,0.000000
1892,0.000834,0.000000
1893,0.000904,0.000000
1894,0.000980,0.000000
1895,0.000943,0.000000
1896,0.001027,0.000000
1897,0.001069,0.000000
1898,0.000933,0.000000
1899,0.000999,0.000000
1900,0.001124,0.000000
1901,0.001229,0.000000
1902,0.001236,0.000013
1903,0.001209,0.000000
1904,0.001204,0.000000
1905,0.001326,0.000000
1906,0.001190,0.000000
1907,0.001223,0.000011
1908,0.001158,0.000000
1909,0.001146,0.000000
1910,0.001149,0.000008
1911,0.001023,0.000000
1912,0.000930,0.000000
1913,0.000798,0.000005
1914,0.000763,0.000000
1915,0.000702,0.000007
1916,0.000786,0.000004
1917,0.000729,0.000000
1918,0.000734,0.000004
1919,0.000763,0.000000
1920,0.000698,0.000004
1921,0.000670,0.000003
1922,0.000707,0.000004
1923,0.000640,0.000003
1924,0.000637,0.000002
1925,0.000602,0.000003
1926,0.000605,0.000004
1927,0.000537,0.000004
1928,0.000510,0.000005
1929,0.000484,0.000004
1930,0.000440,0.000006
1931,0.000426,0.000005
1932,0.000430,0.000004
1933,0.000402,0.000004
1934,0.000367,0.000004
1935,0.000346,0.000003
1936,0.000343,0.000003
1937,0.000324,0.000004
1938,0.000290,0.000000
1939,0.000290,0.000003
1940,0.000256,0.000000
1941,0.000221,0.000000
1942,0.000211,0.000000
1943,0.000192,0.000002
1944,0.000162,0.000000
1945,0.000170,0.000000
1946,0.000148,0.000000
1947,0.000131,0.000000
1948,0.000121,0.000000
1949,0.000122,0.000000
1950,0.000102,0.000000
1951,0.000097,0.000000
1952,0.000085,0.000000
1953,0.000068,0.000000
1954,0.000063,0.000000
1955,0.000081,0.000000
1956,0.000061,0.000000
1957,0.000042,0.000000
1958,0.000048,0.000000
1959,0.000039,0.000000
1960,0.000039,0.000000
1961,0.000030,0.000000
1962,0.000032,0.000000
1963,0.000027,0.000000
1964,0.000027,0.000000
1965,0.000023,0.000000
1966,0.000023,0.000000
1967,0.000017,0.000000
1968,0.000015,0.000000
1969,0.000014,0.000000
1970,0.000012,0.000000
1971,0.000012,0.000000
1972,0.000011,0.000000
1973,0.000012,0.000000
1974,0.000011,0.000000
1975,0.000009,0.000000
1976,0.000009,0.000000
1977,0.000007,0.000000
1978,0.000006,0.000000
1979,0.000007,0.000000
1980,0.000008,0.000000
1981,0.000006,0.000000
1982,0.000008,0.000000
1983,0.000005,0.000000
1984,0.000004,0.000000
1985,0.000005,0.000000
1986,0.000003,0.000000
1987,0.000006,0.000000
1988,0.000004,0.000000
1989,0.000003,0.000000
1990,0.000003,0.000000
1991,0.000002,0.000000
1992,0.000003,0.000000
1993,0.000003,0.000000
1994,0.000002,0.000000
1995,0.000004,0.000000
1996,0.000003,0.000000
1997,0.000002,0.000000
1998,0.000002,0.000000
1999,0.000004,0.000000
2000,0.000008,0.000000
2001,0.000003,0.000000
2002,0.000003,0.000000
2003,0.000002,0.000000
2004,0.000003,0.000000
2005,0.000003,0.000000
2006,0.000005,0.000000
2007,0.000005,0.000000
2008,0.000004,0.000000
2009,0.000004,0.000000
2010,0.000005,0.000000
2011,0.000003,0.000000
2012,0.000006,0.000000
2013,0.000006,0.000000
