year,Marjean
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,5
1916,0
1917,0
1918,5
1919,6
1920,0
1921,13
1922,22
1923,21
1924,35
1925,26
1926,21
1927,19
1928,33
1929,43
1930,31
1931,30
1932,28
1933,37
1934,42
1935,40
1936,31
1937,33
1938,41
1939,41
1940,28
1941,42
1942,41
1943,36
1944,29
1945,21
1946,51
1947,50
1948,51
1949,50
1950,40
1951,55
1952,51
1953,44
1954,47
1955,45
1956,31
1957,27
1958,33
1959,19
1960,18
1961,24
1962,17
1963,18
1964,10
1965,13
1966,9
1967,11
1968,10
1969,8
1970,7
1971,5
1972,8
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,6
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
