year,Malachi (F),Malachi (M)
1880,0.000000,0.000050
1881,0.000000,0.000026
1882,0.000000,0.000036
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000029
1886,0.000000,0.000031
1887,0.000000,0.000028
1888,0.000000,0.000023
1889,0.000000,0.000021
1890,0.000000,0.000027
1891,0.000000,0.000017
1892,0.000000,0.000015
1893,0.000000,0.000000
1894,0.000000,0.000018
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000017
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000011
1901,0.000000,0.000000
1902,0.000000,0.000021
1903,0.000000,0.000013
1904,0.000000,0.000015
1905,0.000000,0.000012
1906,0.000000,0.000000
1907,0.000000,0.000011
1908,0.000000,0.000020
1909,0.000000,0.000014
1910,0.000000,0.000020
1911,0.000000,0.000009
1912,0.000000,0.000017
1913,0.000000,0.000018
1914,0.000000,0.000009
1915,0.000000,0.000010
1916,0.000000,0.000007
1917,0.000000,0.000009
1918,0.000000,0.000006
1919,0.000000,0.000011
1920,0.000000,0.000009
1921,0.000000,0.000008
1922,0.000000,0.000011
1923,0.000000,0.000007
1924,0.000000,0.000008
1925,0.000000,0.000009
1926,0.000000,0.000010
1927,0.000000,0.000007
1928,0.000000,0.000006
1929,0.000000,0.000005
1930,0.000000,0.000008
1931,0.000000,0.000006
1932,0.000000,0.000006
1933,0.000000,0.000011
1934,0.000000,0.000009
1935,0.000000,0.000010
1936,0.000000,0.000006
1937,0.000000,0.000007
1938,0.000000,0.000009
1939,0.000000,0.000010
1940,0.000000,0.000010
1941,0.000000,0.000007
1942,0.000000,0.000008
1943,0.000000,0.000006
1944,0.000000,0.000004
1945,0.000000,0.000005
1946,0.000000,0.000008
1947,0.000000,0.000004
1948,0.000000,0.000007
1949,0.000000,0.000005
1950,0.000000,0.000006
1951,0.000000,0.000005
1952,0.000000,0.000004
1953,0.000000,0.000003
1954,0.000000,0.000004
1955,0.000000,0.000003
1956,0.000000,0.000005
1957,0.000000,0.000004
1958,0.000000,0.000004
1959,0.000000,0.000002
1960,0.000000,0.000003
1961,0.000000,0.000004
1962,0.000000,0.000004
1963,0.000000,0.000001
1964,0.000000,0.000003
1965,0.000000,0.000002
1966,0.000000,0.000001
1967,0.000000,0.000001
1968,0.000000,0.000003
1969,0.000000,0.000005
1970,0.000000,0.000007
1971,0.000000,0.000009
1972,0.000000,0.000006
1973,0.000000,0.000010
1974,0.000000,0.000012
1975,0.000000,0.000018
1976,0.000000,0.000014
1977,0.000000,0.000015
1978,0.000000,0.000013
1979,0.000000,0.000019
1980,0.000000,0.000018
1981,0.000000,0.000013
1982,0.000000,0.000015
1983,0.000000,0.000020
1984,0.000000,0.000019
1985,0.000000,0.000021
1986,0.000000,0.000023
1987,0.000000,0.000026
1988,0.000000,0.000024
1989,0.000000,0.000030
1990,0.000000,0.000030
1991,0.000001,0.000038
1992,0.000000,0.000046
1993,0.000002,0.000066
1994,0.000001,0.000073
1995,0.000002,0.000098
1996,0.000000,0.000114
1997,0.000003,0.000139
1998,0.000003,0.000157
1999,0.000000,0.000191
2000,0.000003,0.000203
2001,0.000003,0.000354
2002,0.000003,0.000448
2003,0.000002,0.000505
2004,0.000004,0.000588
2005,0.000005,0.000663
2006,0.000004,0.000702
2007,0.000003,0.000678
2008,0.000001,0.000625
2009,0.000003,0.000616
2010,0.000002,0.000654
2011,0.000002,0.000643
2012,0.000002,0.000636
2013,0.000003,0.000639
2014,0.000003,0.000646
2015,0.000004,0.000700
2016,0.000002,0.000718
2017,0.000002,0.000710
2018,0.000003,0.000711
2019,0.000003,0.000703
2020,0.000002,0.000712
