year,Marques
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,7
1953,0
1954,0
1955,0
1956,9
1957,7
1958,0
1959,6
1960,0
1961,5
1962,9
1963,8
1964,9
1965,6
1966,0
1967,0
1968,6
1969,6
1970,10
1971,16
1972,11
1973,19
1974,33
1975,103
1976,84
1977,179
1978,171
1979,146
1980,214
1981,272
1982,320
1983,350
1984,350
1985,223
1986,208
1987,174
1988,170
1989,157
1990,157
1991,159
1992,133
1993,184
1994,148
1995,224
1996,236
1997,182
1998,177
1999,196
2000,169
2001,142
2002,149
2003,202
2004,228
2005,271
2006,255
2007,245
2008,206
2009,167
2010,176
2011,113
2012,102
