year,Miguel (F),Miguel (M)
1880,0.000000,0.000060
1881,0.000000,0.000047
1882,0.000000,0.000045
1883,0.000000,0.000055
1884,0.000000,0.000037
1885,0.000000,0.000042
1886,0.000000,0.000051
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000028
1890,0.000000,0.000030
1891,0.000000,0.000024
1892,0.000000,0.000048
1893,0.000000,0.000037
1894,0.000000,0.000038
1895,0.000000,0.000046
1896,0.000000,0.000020
1897,0.000000,0.000040
1898,0.000000,0.000034
1899,0.000000,0.000041
1900,0.000000,0.000038
1901,0.000000,0.000038
1902,0.000000,0.000054
1903,0.000000,0.000047
1904,0.000000,0.000045
1905,0.000000,0.000059
1906,0.000000,0.000044
1907,0.000000,0.000041
1908,0.000000,0.000049
1909,0.000000,0.000035
1910,0.000000,0.000054
1911,0.000000,0.000056
1912,0.000000,0.000048
1913,0.000000,0.000054
1914,0.000000,0.000048
1915,0.000000,0.000057
1916,0.000000,0.000046
1917,0.000000,0.000053
1918,0.000000,0.000047
1919,0.000000,0.000065
1920,0.000000,0.000056
1921,0.000000,0.000055
1922,0.000000,0.000071
1923,0.000000,0.000076
1924,0.000000,0.000080
1925,0.000000,0.000082
1926,0.000000,0.000085
1927,0.000003,0.000087
1928,0.000000,0.000100
1929,0.000000,0.000112
1930,0.000000,0.000099
1931,0.000000,0.000090
1932,0.000000,0.000081
1933,0.000000,0.000090
1934,0.000002,0.000074
1935,0.000000,0.000069
1936,0.000000,0.000075
1937,0.000000,0.000067
1938,0.000000,0.000063
1939,0.000000,0.000073
1940,0.000000,0.000074
1941,0.000000,0.000068
1942,0.000000,0.000067
1943,0.000000,0.000076
1944,0.000000,0.000080
1945,0.000000,0.000086
1946,0.000000,0.000082
1947,0.000001,0.000081
1948,0.000000,0.000111
1949,0.000002,0.000105
1950,0.000000,0.000127
1951,0.000000,0.000126
1952,0.000000,0.000135
1953,0.000000,0.000141
1954,0.000000,0.000153
1955,0.000001,0.000152
1956,0.000003,0.000163
1957,0.000000,0.000176
1958,0.000002,0.000187
1959,0.000000,0.000192
1960,0.000002,0.000198
1961,0.000000,0.000199
1962,0.000002,0.000216
1963,0.000002,0.000223
1964,0.000002,0.000244
1965,0.000003,0.000263
1966,0.000002,0.000293
1967,0.000001,0.000312
1968,0.000004,0.000328
1969,0.000004,0.000375
1970,0.000003,0.000373
1971,0.000005,0.000429
1972,0.000007,0.000452
1973,0.000005,0.000484
1974,0.000002,0.000545
1975,0.000005,0.000549
1976,0.000007,0.000579
1977,0.000005,0.000552
1978,0.000009,0.000575
1979,0.000006,0.000590
1980,0.000009,0.000632
1981,0.000005,0.000693
1982,0.000007,0.000750
1983,0.000010,0.000687
1984,0.000010,0.000693
1985,0.000008,0.000708
1986,0.000005,0.000724
1987,0.000009,0.000731
1988,0.000007,0.000739
1989,0.000006,0.000801
1990,0.000009,0.000936
1991,0.000008,0.001013
1992,0.000011,0.001086
1993,0.000009,0.001153
1994,0.000008,0.001085
1995,0.000008,0.001079
1996,0.000007,0.001141
1997,0.000004,0.001168
1998,0.000005,0.001157
1999,0.000004,0.001139
2000,0.000005,0.001236
2001,0.000004,0.001218
2002,0.000005,0.001242
2003,0.000003,0.001208
2004,0.000004,0.001184
2005,0.000003,0.001216
2006,0.000002,0.001239
2007,0.000002,0.001227
2008,0.000005,0.001132
2009,0.000000,0.001092
2010,0.000002,0.000936
2011,0.000000,0.000867
2012,0.000000,0.000805
2013,0.000002,0.000793
2014,0.000000,0.000744
2015,0.000000,0.000695
2016,0.000001,0.000683
2017,0.000000,0.000638
2018,0.000000,0.000622
2019,0.000001,0.000630
2020,0.000000,0.000615
