year,Mertie
1880,18
1881,29
1882,38
1883,36
1884,42
1885,39
1886,34
1887,36
1888,29
1889,24
1890,30
1891,24
1892,28
1893,31
1894,30
1895,33
1896,30
1897,23
1898,25
1899,23
1900,34
1901,31
1902,22
1903,18
1904,28
1905,28
1906,19
1907,18
1908,23
1909,28
1910,17
1911,23
1912,23
1913,18
1914,24
1915,40
1916,37
1917,41
1918,46
1919,44
1920,32
1921,38
1922,42
1923,32
1924,23
1925,36
1926,26
1927,31
1928,24
1929,23
1930,16
1931,22
1932,27
1933,23
1934,21
1935,15
1936,13
1937,15
1938,26
1939,11
1940,25
1941,18
1942,16
1943,13
1944,10
1945,6
1946,9
1947,12
1948,7
1949,12
1950,6
1951,5
1952,0
1953,6
1954,9
1955,5
1956,5
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,6
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
