year,Maybell
1880,0
1881,0
1882,7
1883,5
1884,11
1885,17
1886,10
1887,10
1888,16
1889,10
1890,14
1891,9
1892,18
1893,18
1894,22
1895,36
1896,20
1897,21
1898,29
1899,25
1900,32
1901,31
1902,28
1903,26
1904,41
1905,40
1906,31
1907,43
1908,39
1909,33
1910,41
1911,49
1912,48
1913,44
1914,52
1915,62
1916,66
1917,59
1918,58
1919,73
1920,56
1921,55
1922,57
1923,53
1924,49
1925,42
1926,39
1927,52
1928,33
1929,34
1930,37
1931,28
1932,30
1933,21
1934,19
1935,16
1936,18
1937,23
1938,17
1939,18
1940,17
1941,20
1942,19
1943,19
1944,14
1945,15
1946,14
1947,13
1948,7
1949,15
1950,17
1951,8
1952,9
1953,14
1954,12
1955,15
1956,7
1957,0
1958,0
1959,8
1960,7
1961,6
1962,8
1963,7
1964,5
1965,0
1966,6
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
