year,Marcille
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,7
1914,5
1915,11
1916,10
1917,8
1918,13
1919,19
1920,30
1921,23
1922,28
1923,34
1924,30
1925,20
1926,17
1927,25
1928,27
1929,16
1930,11
1931,17
1932,12
1933,7
1934,16
1935,11
1936,14
1937,13
1938,9
1939,11
1940,11
1941,11
1942,8
1943,8
1944,7
1945,8
1946,6
1947,6
1948,12
1949,9
1950,11
1951,12
1952,12
1953,12
1954,6
1955,5
1956,0
1957,9
1958,8
1959,5
1960,0
1961,0
1962,7
1963,5
1964,0
1965,0
1966,7
1967,0
1968,0
1969,0
1970,0
1971,7
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,5
2010,0
2011,0
2012,0
