year,Margy
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,5
1912,0
1913,9
1914,6
1915,17
1916,13
1917,27
1918,19
1919,13
1920,24
1921,37
1922,40
1923,53
1924,44
1925,36
1926,41
1927,55
1928,46
1929,74
1930,57
1931,36
1932,36
1933,39
1934,42
1935,29
1936,38
1937,40
1938,25
1939,37
1940,29
1941,21
1942,49
1943,43
1944,29
1945,26
1946,25
1947,22
1948,33
1949,27
1950,16
1951,25
1952,17
1953,11
1954,17
1955,22
1956,13
1957,12
1958,24
1959,22
1960,13
1961,20
1962,17
1963,12
1964,8
1965,7
1966,7
1967,5
1968,8
1969,6
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
