year,Mammie
1880,10
1881,10
1882,0
1883,6
1884,7
1885,0
1886,6
1887,16
1888,12
1889,10
1890,18
1891,10
1892,14
1893,21
1894,14
1895,21
1896,13
1897,13
1898,14
1899,14
1900,38
1901,27
1902,35
1903,23
1904,26
1905,23
1906,21
1907,20
1908,14
1909,29
1910,28
1911,23
1912,34
1913,47
1914,52
1915,46
1916,52
1917,41
1918,60
1919,59
1920,56
1921,54
1922,60
1923,60
1924,66
1925,55
1926,54
1927,63
1928,51
1929,54
1930,38
1931,52
1932,42
1933,40
1934,46
1935,33
1936,38
1937,27
1938,29
1939,33
1940,45
1941,31
1942,29
1943,35
1944,39
1945,30
1946,28
1947,28
1948,30
1949,29
1950,34
1951,23
1952,19
1953,33
1954,29
1955,21
1956,22
1957,14
1958,17
1959,9
1960,10
1961,12
1962,13
1963,7
1964,13
1965,12
1966,11
1967,5
1968,5
1969,5
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,6
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
