year,Meleah
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,9
1956,12
1957,12
1958,0
1959,8
1960,0
1961,0
1962,5
1963,10
1964,12
1965,8
1966,5
1967,5
1968,15
1969,14
1970,12
1971,8
1972,6
1973,7
1974,16
1975,15
1976,20
1977,20
1978,29
1979,24
1980,16
1981,19
1982,24
1983,19
1984,18
1985,22
1986,22
1987,11
1988,26
1989,25
1990,17
1991,21
1992,18
1993,18
1994,26
1995,23
1996,24
1997,39
1998,39
1999,32
2000,42
2001,42
2002,40
2003,37
2004,43
2005,31
2006,39
2007,49
2008,39
2009,44
2010,37
2011,43
2012,44
