year,Mauricio (F),Mauricio (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000021
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000017
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000006
1914,0.000000,0.000005
1915,0.000000,0.000003
1916,0.000000,0.000006
1917,0.000000,0.000005
1918,0.000000,0.000006
1919,0.000000,0.000002
1920,0.000000,0.000005
1921,0.000000,0.000005
1922,0.000000,0.000006
1923,0.000000,0.000003
1924,0.000000,0.000006
1925,0.000000,0.000006
1926,0.000000,0.000007
1927,0.000000,0.000006
1928,0.000000,0.000005
1929,0.000000,0.000005
1930,0.000000,0.000005
1931,0.000000,0.000007
1932,0.000000,0.000004
1933,0.000000,0.000006
1934,0.000000,0.000002
1935,0.000000,0.000004
1936,0.000000,0.000004
1937,0.000000,0.000008
1938,0.000000,0.000009
1939,0.000000,0.000008
1940,0.000000,0.000007
1941,0.000000,0.000006
1942,0.000000,0.000005
1943,0.000000,0.000006
1944,0.000000,0.000004
1945,0.000000,0.000005
1946,0.000000,0.000004
1947,0.000000,0.000003
1948,0.000000,0.000004
1949,0.000000,0.000005
1950,0.000000,0.000006
1951,0.000000,0.000003
1952,0.000000,0.000006
1953,0.000000,0.000005
1954,0.000000,0.000006
1955,0.000000,0.000004
1956,0.000000,0.000008
1957,0.000000,0.000005
1958,0.000000,0.000009
1959,0.000000,0.000007
1960,0.000000,0.000012
1961,0.000000,0.000011
1962,0.000000,0.000012
1963,0.000000,0.000015
1964,0.000000,0.000019
1965,0.000000,0.000017
1966,0.000000,0.000018
1967,0.000000,0.000023
1968,0.000000,0.000022
1969,0.000000,0.000037
1970,0.000000,0.000030
1971,0.000000,0.000038
1972,0.000000,0.000044
1973,0.000000,0.000033
1974,0.000000,0.000051
1975,0.000000,0.000053
1976,0.000000,0.000047
1977,0.000000,0.000047
1978,0.000000,0.000043
1979,0.000000,0.000049
1980,0.000000,0.000049
1981,0.000000,0.000054
1982,0.000000,0.000051
1983,0.000000,0.000049
1984,0.000000,0.000049
1985,0.000000,0.000061
1986,0.000000,0.000057
1987,0.000000,0.000061
1988,0.000000,0.000069
1989,0.000000,0.000078
1990,0.000000,0.000085
1991,0.000000,0.000084
1992,0.000002,0.000107
1993,0.000000,0.000098
1994,0.000000,0.000102
1995,0.000000,0.000124
1996,0.000000,0.000119
1997,0.000000,0.000118
1998,0.000000,0.000128
1999,0.000000,0.000131
2000,0.000000,0.000160
2001,0.000000,0.000202
2002,0.000000,0.000208
2003,0.000000,0.000180
2004,0.000000,0.000198
2005,0.000000,0.000210
2006,0.000000,0.000205
2007,0.000000,0.000198
2008,0.000000,0.000211
2009,0.000000,0.000205
2010,0.000000,0.000172
2011,0.000000,0.000167
2012,0.000000,0.000158
2013,0.000000,0.000140
