year,Milla
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,6
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,6
1915,0
1916,0
1917,0
1918,0
1919,6
1920,0
1921,0
1922,5
1923,0
1924,0
1925,9
1926,5
1927,0
1928,0
1929,7
1930,0
1931,5
1932,0
1933,5
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,5
1943,0
1944,0
1945,0
1946,5
1947,0
1948,7
1949,0
1950,0
1951,6
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,5
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,5
1997,19
1998,23
1999,32
2000,37
2001,28
2002,56
2003,44
2004,69
2005,93
2006,117
2007,99
2008,138
2009,125
2010,128
2011,144
2012,135
