year,Mia (F),Mia (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000000,0.000000
1916,0.000000,0.000000
1917,0.000000,0.000000
1918,0.000000,0.000000
1919,0.000000,0.000000
1920,0.000000,0.000000
1921,0.000000,0.000000
1922,0.000000,0.000000
1923,0.000000,0.000000
1924,0.000000,0.000000
1925,0.000000,0.000000
1926,0.000000,0.000000
1927,0.000000,0.000000
1928,0.000000,0.000000
1929,0.000000,0.000000
1930,0.000000,0.000000
1931,0.000000,0.000000
1932,0.000000,0.000000
1933,0.000003,0.000000
1934,0.000000,0.000000
1935,0.000000,0.000000
1936,0.000000,0.000000
1937,0.000000,0.000000
1938,0.000000,0.000000
1939,0.000000,0.000000
1940,0.000002,0.000000
1941,0.000000,0.000000
1942,0.000003,0.000000
1943,0.000003,0.000000
1944,0.000003,0.000000
1945,0.000003,0.000000
1946,0.000004,0.000000
1947,0.000004,0.000000
1948,0.000005,0.000000
1949,0.000007,0.000000
1950,0.000006,0.000000
1951,0.000008,0.000000
1952,0.000008,0.000000
1953,0.000008,0.000000
1954,0.000012,0.000000
1955,0.000010,0.000000
1956,0.000009,0.000000
1957,0.000010,0.000000
1958,0.000008,0.000000
1959,0.000012,0.000000
1960,0.000013,0.000000
1961,0.000012,0.000000
1962,0.000021,0.000000
1963,0.000026,0.000000
1964,0.000077,0.000000
1965,0.000291,0.000000
1966,0.000207,0.000000
1967,0.000217,0.000000
1968,0.000202,0.000000
1969,0.000133,0.000000
1970,0.000135,0.000000
1971,0.000140,0.000000
1972,0.000132,0.000000
1973,0.000116,0.000000
1974,0.000128,0.000000
1975,0.000122,0.000000
1976,0.000117,0.000000
1977,0.000140,0.000000
1978,0.000165,0.000003
1979,0.000181,0.000002
1980,0.000197,0.000001
1981,0.000208,0.000000
1982,0.000156,0.000000
1983,0.000135,0.000000
1984,0.000130,0.000000
1985,0.000140,0.000000
1986,0.000138,0.000000
1987,0.000151,0.000001
1988,0.000168,0.000000
1989,0.000171,0.000004
1990,0.000197,0.000000
1991,0.000200,0.000000
1992,0.000214,0.000000
1993,0.000211,0.000002
1994,0.000231,0.000000
1995,0.000301,0.000000
1996,0.000463,0.000000
1997,0.000688,0.000000
1998,0.000698,0.000000
1999,0.000741,0.000000
2000,0.000913,0.000001
2001,0.001047,0.000001
2002,0.001675,0.000003
2003,0.001864,0.000003
2004,0.001937,0.000004
2005,0.002823,0.000004
2006,0.003042,0.000005
2007,0.002733,0.000006
2008,0.002591,0.000003
2009,0.002993,0.000005
2010,0.002882,0.000003
2011,0.003157,0.000002
2012,0.003292,0.000003
