year,Maxcine
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,5
1916,0
1917,8
1918,12
1919,6
1920,14
1921,12
1922,22
1923,17
1924,21
1925,17
1926,19
1927,22
1928,20
1929,17
1930,19
1931,16
1932,34
1933,20
1934,20
1935,22
1936,26
1937,20
1938,19
1939,31
1940,38
1941,31
1942,30
1943,34
1944,26
1945,26
1946,25
1947,34
1948,32
1949,38
1950,31
1951,33
1952,35
1953,26
1954,31
1955,27
1956,24
1957,21
1958,16
1959,17
1960,15
1961,15
1962,9
1963,7
1964,5
1965,7
1966,0
1967,6
1968,0
1969,0
1970,0
1971,5
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
