year,Mima
1880,6
1881,0
1882,7
1883,5
1884,9
1885,11
1886,9
1887,11
1888,14
1889,8
1890,12
1891,11
1892,10
1893,11
1894,9
1895,8
1896,10
1897,8
1898,11
1899,11
1900,8
1901,9
1902,9
1903,8
1904,7
1905,8
1906,10
1907,7
1908,0
1909,9
1910,15
1911,0
1912,0
1913,0
1914,10
1915,23
1916,18
1917,16
1918,20
1919,10
1920,6
1921,8
1922,14
1923,12
1924,18
1925,16
1926,9
1927,13
1928,11
1929,7
1930,13
1931,13
1932,14
1933,12
1934,6
1935,25
1936,8
1937,8
1938,5
1939,9
1940,12
1941,8
1942,0
1943,0
1944,5
1945,8
1946,7
1947,8
1948,0
1949,0
1950,7
1951,6
1952,6
1953,0
1954,0
1955,0
1956,0
1957,5
1958,0
1959,5
1960,5
1961,0
1962,0
1963,0
1964,0
1965,6
1966,5
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,6
1974,0
1975,0
1976,7
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,5
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,8
2012,0
