year,Merlin (F),Merlin (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000025
1886,0.000000,0.000000
1887,0.000000,0.000032
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000017
1891,0.000000,0.000021
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000028
1896,0.000000,0.000017
1897,0.000000,0.000000
1898,0.000000,0.000018
1899,0.000000,0.000024
1900,0.000000,0.000018
1901,0.000017,0.000020
1902,0.000000,0.000036
1903,0.000000,0.000024
1904,0.000000,0.000035
1905,0.000000,0.000024
1906,0.000000,0.000028
1907,0.000000,0.000045
1908,0.000000,0.000061
1909,0.000000,0.000039
1910,0.000000,0.000039
1911,0.000000,0.000051
1912,0.000006,0.000077
1913,0.000000,0.000075
1914,0.000000,0.000090
1915,0.000000,0.000098
1916,0.000006,0.000114
1917,0.000006,0.000115
1918,0.000006,0.000123
1919,0.000004,0.000119
1920,0.000003,0.000139
1921,0.000005,0.000147
1922,0.000004,0.000144
1923,0.000004,0.000115
1924,0.000004,0.000142
1925,0.000007,0.000147
1926,0.000006,0.000160
1927,0.000007,0.000168
1928,0.000003,0.000136
1929,0.000005,0.000150
1930,0.000002,0.000150
1931,0.000007,0.000174
1932,0.000005,0.000148
1933,0.000005,0.000151
1934,0.000003,0.000136
1935,0.000005,0.000147
1936,0.000007,0.000132
1937,0.000000,0.000120
1938,0.000000,0.000129
1939,0.000004,0.000111
1940,0.000003,0.000108
1941,0.000002,0.000106
1942,0.000003,0.000079
1943,0.000002,0.000094
1944,0.000000,0.000077
1945,0.000003,0.000070
1946,0.000002,0.000065
1947,0.000003,0.000045
1948,0.000003,0.000045
1949,0.000001,0.000043
1950,0.000000,0.000050
1951,0.000000,0.000047
1952,0.000002,0.000041
1953,0.000000,0.000041
1954,0.000002,0.000038
1955,0.000001,0.000044
1956,0.000001,0.000036
1957,0.000001,0.000035
1958,0.000001,0.000038
1959,0.000000,0.000031
1960,0.000000,0.000025
1961,0.000000,0.000027
1962,0.000000,0.000024
1963,0.000000,0.000028
1964,0.000001,0.000024
1965,0.000000,0.000022
1966,0.000003,0.000025
1967,0.000000,0.000022
1968,0.000000,0.000019
1969,0.000000,0.000021
1970,0.000000,0.000013
1971,0.000000,0.000019
1972,0.000002,0.000023
1973,0.000002,0.000017
1974,0.000000,0.000019
1975,0.000000,0.000016
1976,0.000000,0.000017
1977,0.000000,0.000015
1978,0.000000,0.000015
1979,0.000000,0.000014
1980,0.000002,0.000014
1981,0.000000,0.000012
1982,0.000001,0.000013
1983,0.000002,0.000012
1984,0.000000,0.000011
1985,0.000000,0.000012
1986,0.000000,0.000010
1987,0.000002,0.000011
1988,0.000000,0.000013
1989,0.000002,0.000007
1990,0.000003,0.000011
1991,0.000003,0.000011
1992,0.000005,0.000009
1993,0.000002,0.000011
1994,0.000005,0.000007
1995,0.000005,0.000011
1996,0.000004,0.000011
1997,0.000002,0.000008
1998,0.000003,0.000012
1999,0.000001,0.000013
2000,0.000003,0.000012
2001,0.000004,0.000014
2002,0.000004,0.000011
2003,0.000008,0.000011
2004,0.000003,0.000012
2005,0.000005,0.000009
2006,0.000006,0.000012
2007,0.000006,0.000011
2008,0.000007,0.000009
2009,0.000004,0.000010
2010,0.000004,0.000006
2011,0.000003,0.000009
2012,0.000004,0.000010
2013,0.000002,0.000010
