year,Melville
1880,17
1881,6
1882,8
1883,11
1884,11
1885,10
1886,11
1887,10
1888,11
1889,15
1890,6
1891,8
1892,14
1893,10
1894,19
1895,19
1896,11
1897,7
1898,10
1899,11
1900,10
1901,8
1902,15
1903,14
1904,12
1905,10
1906,13
1907,9
1908,9
1909,16
1910,13
1911,17
1912,44
1913,37
1914,56
1915,67
1916,64
1917,60
1918,77
1919,56
1920,67
1921,63
1922,72
1923,58
1924,65
1925,42
1926,45
1927,53
1928,35
1929,40
1930,49
1931,32
1932,31
1933,40
1934,29
1935,34
1936,24
1937,31
1938,43
1939,24
1940,30
1941,25
1942,27
1943,20
1944,32
1945,27
1946,20
1947,19
1948,27
1949,28
1950,23
1951,22
1952,27
1953,16
1954,16
1955,12
1956,13
1957,10
1958,14
1959,11
1960,12
1961,9
1962,11
1963,11
1964,10
1965,11
1966,7
1967,6
1968,12
1969,11
1970,9
1971,5
1972,0
1973,12
1974,0
1975,0
1976,7
1977,6
1978,5
1979,6
1980,0
1981,5
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
